AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
6.3785,2.2147,7.6594,-0.0339,-0.07400000000000001,-0.0659,-15.7202,-15.7202,-15.7202
6.3785,2.2147,7.6594,-0.0339,-0.07400000000000001,-0.0659,-15.7202,-15.7202,-15.7202
6.3258,1.7886,7.7169,-0.0462,-0.0527,-0.1496,-16.4347,-16.4347,-16.4347
6.3378,1.3312,7.6666,-0.044000000000000004,-0.0324,-0.1615,-16.4347,-16.4347,-16.4347
6.3378,1.3312,7.6666,-0.044000000000000004,-0.0324,-0.1615,-16.4347,-16.4347,-16.4347
6.3737,1.281,7.5397,-0.0435,-0.0306,-0.0974,-16.4347,-16.4347,-16.4347
6.3138,1.7335,7.8917,-0.0664,-0.0348,-0.0316,-16.4347,-16.4347,-16.4347
6.3138,1.7335,7.8917,-0.0664,-0.0348,-0.0316,-16.4347,-16.4347,-16.4347
6.2659,1.9418,8.1,-0.0549,0.0113,-0.0281,-16.4347,-16.4347,-16.4347
6.2659,2.0184,7.8558,0.0513,0.085,-0.0542,-16.4347,-16.4347,-16.4347
6.2659,2.0184,7.8558,0.0513,0.085,-0.0542,-16.4347,-16.4347,-16.4347
6.2564,1.7,7.7193,0.0985,0.1234,-0.0886,-16.4347,-16.4347,-16.4347
6.242000000000001,1.6497,7.8246,0.0851,0.1322,-0.0856,-14.827,-14.827,-14.827
6.242000000000001,1.6497,7.8246,0.0851,0.1322,-0.0856,-14.827,-14.827,-14.827
6.0816,1.7119,8.6555,0.0521,0.175,-0.0726,-14.827,-14.827,-14.827
5.9619,1.7311,8.95,0.1629,0.3388,-0.0404,-14.827,-14.827,-14.827
5.9619,1.7311,8.95,0.1629,0.3388,-0.0404,-14.827,-14.827,-14.827
5.1215,2.4781,9.0003,0.2873,0.5514,-0.0113,-14.827,-14.827,-14.827
4.4415,0.8356,8.9021,0.3797,0.7956,-0.1051,-14.827,-14.827,-14.827
4.4415,0.8356,8.9021,0.3797,0.7956,-0.1051,-14.827,-14.827,-14.827
3.3185,-0.0575,7.9563,0.515,0.6179,0.3756,-14.827,-14.827,-14.827
4.0153,2.0879,8.6196,0.8039,0.1548,0.863,-14.2911,-14.2911,-14.2911
4.0153,2.0879,8.6196,0.8039,0.1548,0.863,-14.2911,-14.2911,-14.2911
4.7551,1.6952,7.3985,0.8937,-0.1464,0.4696,-14.2911,-14.2911,-14.2911
6.7592,1.6880000000000002,7.4679,0.4993,-0.5006,0.0046,-14.2911,-14.2911,-14.2911
6.7592,1.6880000000000002,7.4679,0.4993,-0.5006,0.0046,-14.2911,-14.2911,-14.2911
7.3745,0.4693,7.8989,0.0444,-0.5536,-0.4984,-14.2911,-14.2911,-14.2911
6.7161,0.6752,8.5645,-0.0424,-0.3706,-0.5621,-14.2911,-14.2911,-14.2911
6.7161,0.6752,8.5645,-0.0424,-0.3706,-0.5621,-14.2911,-14.2911,-14.2911
6.4982,1.5467,7.4032,0.3014,-0.0716,-0.3586,-14.2911,-14.2911,-14.2911
6.9914,2.9522,5.7871,0.3744,-0.0356,-0.299,-11.9688,-11.9688,-11.9688
6.9914,2.9522,5.7871,0.3744,-0.0356,-0.299,-11.9688,-11.9688,-11.9688
7.0034,3.4143,6.1678,-0.1047,-0.3179,-0.5951,-11.9688,-11.9688,-11.9688
6.7209,3.2108,6.8717,-0.5942,-0.5347,-0.924,-11.9688,-11.9688,-11.9688
6.7209,3.2108,6.8717,-0.5942,-0.5347,-0.924,-11.9688,-11.9688,-11.9688
5.8254,2.21,8.0737,-0.7599,-0.5597,-0.8787,-11.9688,-11.9688,-11.9688
6.2348,2.8205,8.3825,-0.2824,-0.2825,-0.3418,-11.9688,-11.9688,-11.9688
6.2348,2.8205,8.3825,-0.2824,-0.2825,-0.3418,-11.9688,-11.9688,-11.9688
7.0944,3.6609,6.7376,0.0881,0.1239,-0.0683,-11.9688,-11.9688,-11.9688
7.2955,3.7926,6.5006,-0.187,0.2557,-0.2971,-12.1474,-12.1474,-12.1474
7.2955,3.7926,6.5006,-0.187,0.2557,-0.2971,-12.1474,-12.1474,-12.1474
6.0098,2.9259,6.7304,-0.7005,0.2211,-0.7229,-12.1474,-12.1474,-12.1474
5.0975,2.1597,8.167,-0.7564,0.0057,-0.634,-12.1474,-12.1474,-12.1474
5.0975,2.1597,8.167,-0.7564,0.0057,-0.634,-12.1474,-12.1474,-12.1474
5.8661,3.0528,8.0713,-0.1833,0.0366,-0.1067,-12.1474,-12.1474,-12.1474
6.3641,3.4981,6.9148,-0.0946,0.2121,0.0712,-12.1474,-12.1474,-12.1474
5.7967,3.4215,7.4368,-0.4693,0.1793,-0.1352,-12.1474,-12.1474,-12.1474
5.7967,3.4215,7.4368,-0.4693,0.1793,-0.1352,-12.1474,-12.1474,-12.1474
5.0185,2.8588,8.2963,-0.595,0.1181,-0.1983,-12.1474,-12.1474,-12.1474
5.052,2.7128,8.0952,-0.3716,0.1295,-0.0108,-12.862,-12.862,-12.862
5.052,2.7128,8.0952,-0.3716,0.1295,-0.0108,-12.862,-12.862,-12.862
4.8844,2.7822,8.3346,-0.29600000000000004,0.0248,0.10099999999999999,-12.862,-12.862,-12.862
5.2699,3.2443,8.0162,-0.2608,-0.0244,0.1666,-12.862,-12.862,-12.862
5.2699,3.2443,8.0162,-0.2608,-0.0244,0.1666,-12.862,-12.862,-12.862
5.5381,2.7774,7.7193,-0.3697,-0.0852,0.0547,-12.862,-12.862,-12.862
5.4303,2.3536,8.5453,-0.4837,-0.1501,-0.001,-12.862,-12.862,-12.862
5.4303,2.3536,8.5453,-0.4837,-0.1501,-0.001,-12.862,-12.862,-12.862
5.7224,2.1836,8.3203,-0.3844,-0.0652,0.023,-12.862,-12.862,-12.862
5.8685,2.1262,8.282,-0.3724,-0.018000000000000002,-0.0484,-12.325999999999999,-12.325999999999999,-12.325999999999999
5.8685,2.1262,8.282,-0.3724,-0.018000000000000002,-0.0484,-12.325999999999999,-12.325999999999999,-12.325999999999999
5.8398,2.0256,8.416,-0.3982,0.0168,-0.1245,-12.325999999999999,-12.325999999999999,-12.325999999999999
5.3609,1.8269,8.1766,-0.386,0.0142,-0.0926,-12.325999999999999,-12.325999999999999,-12.325999999999999
