AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.2596,-5.55,4.0033,0.6146,0.0085,0.0543,-4.1087,-4.1087,-4.1087
7.2596,-5.6386,4.0225,0.588,0.0069,0.0458,-4.1087,-4.1087,-4.1087
7.2596,-5.6386,4.0225,0.588,0.0069,0.0458,-4.1087,-4.1087,-4.1087
7.2620000000000005,-5.586,3.965,0.6029,0.0088,0.0551,-4.466,-4.466,-4.466
7.2668,-5.55,3.9794,0.6042,0.008,0.0549,-4.466,-4.466,-4.466
7.2668,-5.55,3.9794,0.6042,0.008,0.0549,-4.466,-4.466,-4.466
7.2476,-5.6003,3.9698,0.5997,0.0085,0.0519,-4.466,-4.466,-4.466
7.2644,-5.574,3.977,0.6098,0.0101,0.0535,-4.466,-4.466,-4.466
7.2644,-5.574,3.977,0.6098,0.0101,0.0535,-4.466,-4.466,-4.466
7.2476,-5.5692,4.0296,0.6306,0.0163,0.0565,-4.466,-4.466,-4.466
7.25,-5.574,3.9506,0.6239,0.0261,0.0546,-4.466,-4.466,-4.466
7.25,-5.574,3.9506,0.6239,0.0261,0.0546,-4.466,-4.466,-4.466
7.25,-5.6123,3.9004,0.6061,0.0202,0.049,-4.466,-4.466,-4.466
7.2596,-5.6051,3.9339,0.605,0.0109,0.0535,-4.6446,-4.6446,-4.6446
7.2596,-5.6051,3.9339,0.605,0.0109,0.0535,-4.6446,-4.6446,-4.6446
7.2787,-5.5836,3.9865,0.6159,0.0064,0.0605,-4.6446,-4.6446,-4.6446
7.2404,-5.5764,4.0129,0.6205,0.0109,0.0602,-4.6446,-4.6446,-4.6446
7.2404,-5.5764,4.0129,0.6205,0.0109,0.0602,-4.6446,-4.6446,-4.6446
7.2668,-5.6219,3.965,0.6138,0.0181,0.0554,-4.6446,-4.6446,-4.6446
7.2596,-5.6841,3.9315,0.6229,0.0181,0.0615,-4.6446,-4.6446,-4.6446
7.2596,-5.6841,3.9315,0.6229,0.0181,0.0615,-4.6446,-4.6446,-4.6446
7.2668,-5.6195,3.8884,0.6375,0.0085,0.0759,-4.6446,-4.6446,-4.6446
7.2668,-5.6003,3.886,0.6359,-0.0061,0.0831,-3.7514,-3.7514,-3.7514
7.2668,-5.6003,3.886,0.6359,-0.0061,0.0831,-3.7514,-3.7514,-3.7514
7.2476,-5.5979,4.0201,0.6324,-0.0141,0.0828,-3.7514,-3.7514,-3.7514
7.2476,-5.562,4.0632,0.6295,-0.0069,0.0791,-3.7514,-3.7514,-3.7514
7.2476,-5.562,4.0632,0.6295,-0.0069,0.0791,-3.7514,-3.7514,-3.7514
7.237999999999999,-5.5692,4.0009,0.6173,0.0064,0.0714,-3.7514,-3.7514,-3.7514
7.2428,-5.5931,3.9698,0.6119,0.012,0.0661,-3.7514,-3.7514,-3.7514
7.2428,-5.5931,3.9698,0.6119,0.012,0.0661,-3.7514,-3.7514,-3.7514
7.2356,-5.5931,3.9746,0.6031,0.0115,0.0618,-3.7514,-3.7514,-3.7514
7.2356,-5.6482,3.9195,0.5965,0.0104,0.0567,-4.466,-4.466,-4.466
7.2356,-5.6482,3.9195,0.5965,0.0104,0.0567,-4.466,-4.466,-4.466
7.2404,-5.6386,4.0033,0.6213,0.0099,0.0626,-4.466,-4.466,-4.466
7.2285,-5.5237,4.0464,0.6332,0.0179,0.0655,-4.466,-4.466,-4.466
7.2285,-5.5237,4.0464,0.6332,0.0179,0.0655,-4.466,-4.466,-4.466
7.237999999999999,-5.6219,3.9578,0.5912,0.0285,0.0477,-4.466,-4.466,-4.466
7.2428,-5.7176,3.9315,0.5901,0.025,0.0493,-4.466,-4.466,-4.466
7.2428,-5.7176,3.9315,0.5901,0.025,0.0493,-4.466,-4.466,-4.466
7.2476,-5.6817,3.9363,0.6415,0.0181,0.0735,-4.466,-4.466,-4.466
7.2333,-5.5692,4.0249,0.6665,0.0152,0.0852,-5.5378,-5.5378,-5.5378
7.2333,-5.5692,4.0249,0.6665,0.0152,0.0852,-5.5378,-5.5378,-5.5378
7.2021,-5.5189,4.1111,0.6364,0.0237,0.0714,-5.5378,-5.5378,-5.5378
7.2189,-5.6291,4.0033,0.5877,0.0421,0.0482,-5.5378,-5.5378,-5.5378
7.2189,-5.6291,4.0033,0.5877,0.0421,0.0482,-5.5378,-5.5378,-5.5378
7.2189,-5.7368,3.8836,0.5715,0.0456,0.045,-5.5378,-5.5378,-5.5378
7.2213,-5.7847,3.9674,0.6005,0.0352,0.0671,-5.5378,-5.5378,-5.5378
7.2213,-5.7847,3.9674,0.6005,0.0352,0.0671,-5.5378,-5.5378,-5.5378
7.2189,-5.7583,4.0249,0.6452,0.0282,0.0988,-5.5378,-5.5378,-5.5378
7.2045,-5.6817,4.0225,0.6798,0.0317,0.1231,-5.5378,-5.5378,-5.5378
7.2045,-5.6817,4.0225,0.6798,0.0317,0.1231,-5.5378,-5.5378,-5.5378
7.2045,-5.6458,3.8764,0.6575,0.0304,0.1273,-4.466,-4.466,-4.466
7.1902,-5.6985,3.9267,0.6207,0.0147,0.1252,-4.466,-4.466,-4.466
7.1902,-5.6985,3.9267,0.6207,0.0147,0.1252,-4.466,-4.466,-4.466
7.1854,-5.732,4.0296,0.6266,0.0011,0.1316,-4.466,-4.466,-4.466
7.1662,-5.6961,4.0273,0.6319,0.0061,0.1422,-4.466,-4.466,-4.466
7.1662,-5.6961,4.0273,0.6319,0.0061,0.1422,-4.466,-4.466,-4.466
7.1638,-5.6913,3.9363,0.6149,0.0091,0.1452,-4.466,-4.466,-4.466
7.1566,-5.7991,3.9411,0.6154,-0.0016,0.1478,-4.466,-4.466,-4.466
7.1566,-5.7991,3.9411,0.6154,-0.0016,0.1478,-4.466,-4.466,-4.466
7.1279,-5.7224,4.0177,0.6338,-0.0114,0.1646,-3.3941,-3.3941,-3.3941
7.1135,-5.6722,4.0536,0.6101,-0.009000000000000001,0.1609,-3.3941,-3.3941,-3.3941
7.1135,-5.6722,4.0536,0.6101,-0.009000000000000001,0.1609,-3.3941,-3.3941,-3.3941
7.1183,-5.9403,4.0177,0.5653,0.0,0.1489,-3.3941,-3.3941,-3.3941
7.1279,-6.1869,3.9147,0.6066,0.0,0.1878,-3.3941,-3.3941,-3.3941
7.1279,-6.1869,3.9147,0.6066,0.0,0.1878,-3.3941,-3.3941,-3.3941
7.0824,-6.1797,4.0368,0.7171,-0.0098,0.2746,-3.3941,-3.3941,-3.3941
7.0824,-6.1797,4.0368,0.7171,-0.0098,0.2746,-3.3941,-3.3941,-3.3941
7.0393,-6.1151,4.2427,0.7331,0.0,0.3438,-3.3941,-3.3941,-3.3941
6.9938,-6.3593,4.2547,0.6724,0.0384,0.391,-2.1437,-2.1437,-2.1437
6.91,-7.0441,3.8501,0.6428,0.0346,0.5119,-2.1437,-2.1437,-2.1437
6.91,-7.0441,3.8501,0.6428,0.0346,0.5119,-2.1437,-2.1437,-2.1437
6.3569,-6.8047,3.7208,0.8647,-0.0663,0.7628,-2.1437,-2.1437,-2.1437
6.3569,-6.8047,3.7208,0.8647,-0.0663,0.7628,-2.1437,-2.1437,-2.1437
5.8829,-7.3075,3.4598,0.7677,-0.1728,0.5143,-2.1437,-2.1437,-2.1437
6.5748,-7.8725,3.1461,0.6756,-0.2213,0.1036,-2.1437,-2.1437,-2.1437
6.5748,-7.8725,3.1461,0.6756,-0.2213,0.1036,-2.1437,-2.1437,-2.1437
6.4383,-7.6355,3.7256,0.7763,-0.1949,-0.0338,-2.1437,-2.1437,-2.1437
7.3602,-7.3937,3.4694,0.6684,-0.2109,-0.1989,0.8932,0.8932,0.8932
7.3602,-7.3937,3.4694,0.6684,-0.2109,-0.1989,0.8932,0.8932,0.8932
7.8127,-6.6514,3.6585,0.6396,-0.1483,-0.2133,0.8932,0.8932,0.8932
8.1838,-6.3521,3.4119,0.5555,0.0306,-0.2509,0.8932,0.8932,0.8932
8.1838,-6.3521,3.4119,0.5555,0.0306,-0.2509,0.8932,0.8932,0.8932
8.2461,-5.9188,3.4406,0.5667,0.1587,-0.172,0.8932,0.8932,0.8932
7.9731,-5.2962,3.5053,0.6303,0.2519,-0.0168,0.8932,0.8932,0.8932
7.9731,-5.2962,3.5053,0.6303,0.2519,-0.0168,0.8932,0.8932,0.8932
7.4799,-4.7886,3.7806,0.6596,0.2815,0.069,0.8932,0.8932,0.8932
7.2476,-4.4606,4.1374,0.6308,0.2834,0.0682,0.8932,0.8932,0.8932
7.2476,-4.4606,4.1374,0.6308,0.2834,0.0682,0.8932,0.8932,0.8932
6.9699,-4.396,4.5013,0.5451,0.2839,0.04,5.5378,5.5378,5.5378
6.8741,-4.2787,4.7695,0.5142,0.2381,0.086,5.5378,5.5378,5.5378
6.8741,-4.2787,4.7695,0.5142,0.2381,0.086,5.5378,5.5378,5.5378
6.7807,-4.1613,4.9778,0.4354,0.1926,0.1366,5.5378,5.5378,5.5378
6.5772,-4.4343,4.9898,0.2782,0.1529,0.2088,5.5378,5.5378,5.5378
6.5772,-4.4343,4.9898,0.2782,0.1529,0.2088,5.5378,5.5378,5.5378
6.3019,-4.712,4.8365,0.1808,0.1156,0.27699999999999997,5.5378,5.5378,5.5378
6.2588,-5.155,4.6522,0.0915,0.0645,0.2581,5.5378,5.5378,5.5378
6.2588,-5.155,4.6522,0.0915,0.0645,0.2581,5.5378,5.5378,5.5378
6.3210000000000015,-5.5907,4.3816,0.0519,0.0674,0.1944,6.6096,6.6096,6.6096
6.4407,-6.0026,4.0823,0.0431,0.0653,0.1268,6.6096,6.6096,6.6096
6.4407,-6.0026,4.0823,0.0431,0.0653,0.1268,6.6096,6.6096,6.6096
