AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.7248,-7.237999999999999,3.5580000000000003,0.6563,0.3841,0.0307,0.5359,0.5359,0.5359
5.7057,-7.183,3.5412,0.6315,0.3865,0.0099,0.5359,0.5359,0.5359
5.7344,-7.2668,3.6082,0.5889,0.3849,-0.0228,0.5359,0.5359,0.5359
5.7344,-7.2668,3.6082,0.5889,0.3849,-0.0228,0.5359,0.5359,0.5359
5.7607,-7.3841,3.5197,0.5652,0.3897,-0.0375,0.5359,0.5359,0.5359
5.7392,-7.5732,3.5436,0.6299,0.3886,-0.0124,0.5359,0.5359,0.5359
5.7392,-7.5732,3.5436,0.6299,0.3886,-0.0124,0.5359,0.5359,0.5359
5.7536,-7.5637,3.6035,0.7290000000000001,0.3985,0.0395,0.5359,0.5359,0.5359
5.7488,-7.407999999999999,3.6801,0.7985,0.4179,0.0864,0.8932,0.8932,0.8932
5.7488,-7.407999999999999,3.6801,0.7985,0.4179,0.0864,0.8932,0.8932,0.8932
5.732,-7.183,3.6609,0.8246,0.4475,0.0957,0.8932,0.8932,0.8932
5.732,-7.183,3.6609,0.8246,0.4475,0.0957,0.8932,0.8932,0.8932
5.7153,-7.0393,3.6633,0.8054,0.4709,0.0619,0.8932,0.8932,0.8932
5.7176,-7.1495,3.6489,0.7359,0.4898,0.0009,0.8932,0.8932,0.8932
5.7176,-7.1495,3.6489,0.7359,0.4898,0.0009,0.8932,0.8932,0.8932
5.7248,-7.4272,3.5101,0.6789,0.4949,-0.038,0.8932,0.8932,0.8932
5.7488,-7.5828,3.3688,0.6933,0.48100000000000004,-0.0191,0.8932,0.8932,0.8932
5.7488,-7.5828,3.3688,0.6933,0.48100000000000004,-0.0191,0.8932,0.8932,0.8932
5.7296,-7.3194,3.5101,0.7857,0.4485,0.0355,1.2505,1.2505,1.2505
5.7153,-7.1782,3.6226,0.7895,0.436,0.0384,1.2505,1.2505,1.2505
5.7153,-7.1782,3.6226,0.7895,0.436,0.0384,1.2505,1.2505,1.2505
5.7248,-7.2117,3.5364,0.7016,0.4344,0.0051,1.2505,1.2505,1.2505
5.7607,-7.2237,3.3353,0.6137,0.4115,-0.0236,1.2505,1.2505,1.2505
5.7607,-7.2237,3.3353,0.6137,0.4115,-0.0236,1.2505,1.2505,1.2505
5.7847,-7.171,3.2706,0.5857,0.3609,-0.0436,1.2505,1.2505,1.2505
5.7751,-7.0489,3.4215,0.6315,0.3021,-0.062,1.2505,1.2505,1.2505
5.7751,-7.0489,3.4215,0.6315,0.3021,-0.062,1.2505,1.2505,1.2505
5.7871,-7.0249,3.6082,0.6526,0.2768,-0.1081,2.1437,2.1437,2.1437
5.835,-7.1255,3.6106,0.6233,0.2882,-0.1629,2.1437,2.1437,2.1437
5.835,-7.1255,3.6106,0.6233,0.2882,-0.1629,2.1437,2.1437,2.1437
5.835,-7.4176,3.8381,0.5732,0.3154,-0.1887,2.1437,2.1437,2.1437
5.8541,-7.5589,3.7591,0.5357,0.3761,-0.1664,2.1437,2.1437,2.1437
5.8541,-7.5589,3.7591,0.5357,0.3761,-0.1664,2.1437,2.1437,2.1437
5.7272,-7.6762,3.5723,0.5692,0.4302,-0.0929,2.1437,2.1437,2.1437
5.9355,-7.3338,3.3832,0.7362,0.4501,0.035,2.1437,2.1437,2.1437
5.9355,-7.3338,3.3832,0.7362,0.4501,0.035,2.1437,2.1437,2.1437
5.9978,-7.1542,3.4287,0.8033,0.4336,0.0624,2.1437,2.1437,2.1437
5.9858,-7.1351,3.5173,0.7788,0.4224,0.0198,2.3223,2.3223,2.3223
5.9858,-7.1351,3.5173,0.7788,0.4224,0.0198,2.3223,2.3223,2.3223
5.9188,-7.4751,3.5268,0.7202,0.4307,-0.0188,2.3223,2.3223,2.3223
5.9379,-7.4296,3.3952,0.7359,0.4336,0.0177,2.3223,2.3223,2.3223
5.9379,-7.4296,3.3952,0.7359,0.4336,0.0177,2.3223,2.3223,2.3223
5.9188,-7.3194,3.364,0.8036,0.4118,0.0664,2.3223,2.3223,2.3223
5.8613,-7.0704,3.6609,0.8627,0.391,0.0909,2.3223,2.3223,2.3223
5.8613,-7.0704,3.6609,0.8627,0.391,0.0909,2.3223,2.3223,2.3223
5.8421,-6.8837,3.7232,0.8124,0.4097,0.0589,2.3223,2.3223,2.3223
5.8781,-6.9483,3.625,0.6712,0.436,-0.0202,1.7864,1.7864,1.7864
5.8781,-6.9483,3.625,0.6712,0.436,-0.0202,1.7864,1.7864,1.7864
5.9092,-7.0704,3.5939,0.5594,0.4467,-0.0862,1.7864,1.7864,1.7864
5.9188,-7.1925,3.534,0.5295,0.4576,-0.1179,1.7864,1.7864,1.7864
5.9188,-7.1925,3.534,0.5295,0.4576,-0.1179,1.7864,1.7864,1.7864
5.9643,-7.353,3.3928,0.5591,0.4592,-0.1184,1.7864,1.7864,1.7864
5.981,-7.4535,3.3401,0.6627,0.44,-0.0766,1.7864,1.7864,1.7864
5.9547,-7.2979,3.6418,0.7908,0.4232,-0.0172,1.7864,1.7864,1.7864
5.9547,-7.2979,3.6418,0.7908,0.4232,-0.0172,1.7864,1.7864,1.7864
5.9451,-7.1016,3.728,0.7924,0.4467,0.0019,1.6077,1.6077,1.6077
5.9667,-7.1016,3.5508,0.7152,0.4824,-0.0194,1.6077,1.6077,1.6077
5.9667,-7.1016,3.5508,0.7152,0.4824,-0.0194,1.6077,1.6077,1.6077
5.981,-7.3362,3.2994,0.6526,0.485,-0.0359,1.6077,1.6077,1.6077
5.981,-7.3362,3.2994,0.6526,0.485,-0.0359,1.6077,1.6077,1.6077
5.9738,-7.4894,3.4622,0.7274,0.4499,0.0017,1.6077,1.6077,1.6077
5.9643,-7.3314,3.6466,0.8496,0.4342,0.0712,1.6077,1.6077,1.6077
5.9643,-7.3314,3.6466,0.8496,0.4342,0.0712,1.6077,1.6077,1.6077
5.9212,-7.0848,3.7878,0.8824,0.4483,0.1069,1.6077,1.6077,1.6077
5.9188,-7.1255,3.6944,0.769,0.4829,0.0816,1.7864,1.7864,1.7864
5.9188,-7.1255,3.6944,0.769,0.4829,0.0816,1.7864,1.7864,1.7864
5.9283,-7.2811,3.4909,0.6401,0.4957,0.0613,1.7864,1.7864,1.7864
5.9643,-7.4009,3.2515,0.6334,0.4677,0.0869,1.7864,1.7864,1.7864
5.9643,-7.4009,3.2515,0.6334,0.4677,0.0869,1.7864,1.7864,1.7864
5.9188,-7.2021,3.3281,0.7146,0.4073,0.1354,1.7864,1.7864,1.7864
5.8733,-6.8621,3.6035,0.7682,0.3596,0.141,1.7864,1.7864,1.7864
5.8733,-6.8621,3.6035,0.7682,0.3596,0.141,1.7864,1.7864,1.7864
5.8469,-6.9555,3.8189,0.7362,0.3583,0.0813,1.7864,1.7864,1.7864
5.8445,-7.1758,3.9075,0.6704,0.391,0.027000000000000003,1.7864,1.7864,1.7864
5.8445,-7.1758,3.9075,0.6704,0.391,0.027000000000000003,1.7864,1.7864,1.7864
5.8733,-7.2955,3.7304,0.6472,0.435,0.0158,2.6796,2.6796,2.6796
5.8972,-7.4535,3.5077,0.6579,0.4565,0.0371,2.6796,2.6796,2.6796
5.8972,-7.4535,3.5077,0.6579,0.4565,0.0371,2.6796,2.6796,2.6796
5.9068,-7.5254,3.3089999999999997,0.7154,0.4371,0.0949,2.6796,2.6796,2.6796
5.8781,-7.1686,3.3066,0.8142,0.3812,0.1607,2.6796,2.6796,2.6796
5.8781,-7.1686,3.3066,0.8142,0.3812,0.1607,2.6796,2.6796,2.6796
5.8206,-6.8382,3.4981,0.8526,0.3234,0.1588,2.6796,2.6796,2.6796
5.7847,-6.6107,3.9267,0.8113,0.3047,0.0818,2.6796,2.6796,2.6796
5.7847,-6.6107,3.9267,0.8113,0.3047,0.0818,2.6796,2.6796,2.6796
5.7799,-6.7352,4.1422,0.68,0.3537,-0.0425,2.3223,2.3223,2.3223
5.8278,-7.0226,3.9219,0.5516,0.44299999999999995,-0.1469,2.3223,2.3223,2.3223
5.8278,-7.0226,3.9219,0.5516,0.44299999999999995,-0.1469,2.3223,2.3223,2.3223
5.8996,-7.4032,3.6777,0.5394,0.4989,-0.1781,2.3223,2.3223,2.3223
5.914,-7.4104,3.5029,0.6121,0.5087,-0.1363,2.3223,2.3223,2.3223
5.914,-7.4104,3.5029,0.6121,0.5087,-0.1363,2.3223,2.3223,2.3223
5.9451,-7.5014,3.3928,0.6813,0.4914,-0.0798,2.3223,2.3223,2.3223
5.9499,-7.3434,3.3832,0.7255,0.4509,-0.0175,2.3223,2.3223,2.3223
5.9499,-7.3434,3.3832,0.7255,0.4509,-0.0175,2.3223,2.3223,2.3223
5.9331,-7.0920000000000005,3.4646,0.7532,0.4051,0.0182,1.7864,1.7864,1.7864
5.9307,-6.934,3.6537,0.7314,0.3788,0.0083,1.7864,1.7864,1.7864
5.9307,-6.934,3.6537,0.7314,0.3788,0.0083,1.7864,1.7864,1.7864
5.9116,-7.0034,3.7854,0.6478,0.3849,-0.0399,1.7864,1.7864,1.7864
5.9307,-7.2045,3.7543,0.5644,0.4121,-0.0793,1.7864,1.7864,1.7864
5.9307,-7.2045,3.7543,0.5644,0.4121,-0.0793,1.7864,1.7864,1.7864
5.9667,-7.4056,3.6202,0.5564,0.436,-0.0689,1.7864,1.7864,1.7864
5.9667,-7.4056,3.6202,0.5564,0.436,-0.0689,1.7864,1.7864,1.7864
5.9643,-7.4775,3.7208,0.6235,0.4459,-0.0122,1.7864,1.7864,1.7864
5.9475,-7.3554,3.7591,0.6989,0.4688,0.0557,2.1437,2.1437,2.1437
5.9475,-7.3554,3.7591,0.6989,0.4688,0.0557,2.1437,2.1437,2.1437
5.914,-7.2979,3.795,0.7575,0.5063,0.1013,2.1437,2.1437,2.1437
5.9188,-7.511,3.7039999999999997,0.7596,0.5431,0.13,2.1437,2.1437,2.1437
5.9188,-7.511,3.7039999999999997,0.7596,0.5431,0.13,2.1437,2.1437,2.1437
5.902,-7.7145,3.5316,0.7695,0.5539999999999999,0.198,2.1437,2.1437,2.1437
5.6362,-7.8438,3.1845,0.8957,0.5287,0.305,2.1437,2.1437,2.1437
5.6362,-7.8438,3.1845,0.8957,0.5287,0.305,2.1437,2.1437,2.1437
3.5963,-7.0465,1.6401,1.124,0.3806,0.3034,2.1437,2.1437,2.1437
3.5939,-8.4998,3.1126,1.3834,-0.4207,-0.1821,2.1437,2.1437,2.1437
3.5939,-8.4998,3.1126,1.3834,-0.4207,-0.1821,2.1437,2.1437,2.1437
5.9092,-7.8749,3.2898,1.5557,-0.6969,-0.22899999999999998,2.1437,2.1437,2.1437
6.9004,-7.3338,2.7702,1.2307,-0.486,-0.0258,2.1437,2.1437,2.1437
