AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.4878,-7.6307,3.1964,0.7101,0.4083,0.055999999999999994,-0.5359,-0.5359,-0.5359
5.4806,-7.6379,3.2347,0.6883,0.4185,0.0454,-0.5359,-0.5359,-0.5359
5.483,-7.693,3.2108,0.6771,0.4336,0.0355,-1.0718,-1.0718,-1.0718
5.483,-7.693,3.2108,0.6771,0.4336,0.0355,-1.0718,-1.0718,-1.0718
5.483,-7.7479999999999976,3.1126,0.6824,0.4414,0.0384,-1.0718,-1.0718,-1.0718
5.471,-7.6163,3.1988,0.7008,0.4368,0.0475,-1.0718,-1.0718,-1.0718
5.471,-7.6163,3.1988,0.7008,0.4368,0.0475,-1.0718,-1.0718,-1.0718
5.4686,-7.6355,3.2491,0.6629999999999999,0.4435,0.0312,-1.0718,-1.0718,-1.0718
5.4591,-7.7983,3.1773,0.6105,0.4579,0.0145,-1.0718,-1.0718,-1.0718
5.4591,-7.7983,3.1773,0.6105,0.4579,0.0145,-1.0718,-1.0718,-1.0718
5.4686,-7.9635,3.0839,0.5929,0.4587,0.0307,-1.0718,-1.0718,-1.0718
5.4686,-7.9276,3.0384,0.6286,0.4483,0.0794,-0.8932,-0.8932,-0.8932
5.4686,-7.9276,3.0384,0.6286,0.4483,0.0794,-0.8932,-0.8932,-0.8932
5.4255,-7.7959,3.1629,0.6555,0.44,0.1183,-0.8932,-0.8932,-0.8932
5.4303,-7.8845,3.1725,0.6246,0.4451,0.13,-0.8932,-0.8932,-0.8932
5.4303,-7.8845,3.1725,0.6246,0.4451,0.13,-0.8932,-0.8932,-0.8932
5.4184,-7.9755,3.0863,0.5684,0.4523,0.1455,-0.8932,-0.8932,-0.8932
5.416,-8.0306,2.9618,0.5255,0.4493,0.1769,-0.8932,-0.8932,-0.8932
5.416,-8.0306,2.9618,0.5255,0.4493,0.1769,-0.8932,-0.8932,-0.8932
5.3369,-7.9108,2.7439,0.4438,0.3918,0.1985,-0.8932,-0.8932,-0.8932
5.3298,-8.2437,2.5093,0.3831,0.3441,0.23600000000000002,-0.8932,-0.8932,-0.8932
5.3298,-8.2437,2.5093,0.3831,0.3441,0.23600000000000002,-0.8932,-0.8932,-0.8932
5.301,-8.2389,2.5619,0.489,0.2896,0.3221,0.0,0.0,0.0
5.301,-8.2389,2.5619,0.489,0.2896,0.3221,0.0,0.0,0.0
4.4487,-8.3729,3.1054,0.6161,0.2421,0.4012,0.0,0.0,0.0
4.3984,-7.8893,2.5667,0.7277,0.4115,0.4712,0.0,0.0,0.0
4.3984,-7.8893,2.5667,0.7277,0.4115,0.4712,0.0,0.0,0.0
3.6657,-8.4496,2.3009,0.6472,0.3785,0.0794,0.0,0.0,0.0
3.8333,-8.7369,2.1501,0.7556,0.1899,-0.2276,0.0,0.0,0.0
3.8333,-8.7369,2.1501,0.7556,0.1899,-0.2276,0.0,0.0,0.0
4.1805,-8.3706,2.617,0.9221,0.019,-0.3307,0.0,0.0,0.0
4.9539,-8.0904,2.5931,0.8243,-0.0282,-0.429,-0.3573,-0.3573,-0.3573
4.9539,-8.0904,2.5931,0.8243,-0.0282,-0.429,-0.3573,-0.3573,-0.3573
5.8158,-7.7624,2.7104,0.7799,0.1029,-0.4234,-0.3573,-0.3573,-0.3573
6.1797,-7.6379,2.3847,0.6755,0.3881,-0.3917,-0.3573,-0.3573,-0.3573
6.1797,-7.6379,2.3847,0.6755,0.3881,-0.3917,-0.3573,-0.3573,-0.3573
