AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.4559,4.1039,-5.4064,0.3046,-0.1721,-0.0531,23.5802,23.5802,23.5802
7.4368,3.9889,-5.3034,0.3174,-0.1807,-0.0537,23.5802,23.5802,23.5802
7.4104,3.8788,-5.2699,0.2974,-0.1743,-0.0366,23.22300000000001,23.22300000000001,23.22300000000001
7.4104,3.8788,-5.2699,0.2974,-0.1743,-0.0366,23.22300000000001,23.22300000000001,23.22300000000001
7.3913,3.9482,-5.2484,0.2441,-0.1562,-0.0073,23.22300000000001,23.22300000000001,23.22300000000001
7.3937,4.2188,-5.3393,0.1986,-0.1351,0.01,23.22300000000001,23.22300000000001,23.22300000000001
7.4056,4.3529,-5.4112,0.2039,-0.1314,-0.0047,23.22300000000001,23.22300000000001,23.22300000000001
7.4056,4.3529,-5.4112,0.2039,-0.1314,-0.0047,23.22300000000001,23.22300000000001,23.22300000000001
7.1734,4.3241,-5.5644,0.2225,-0.1495,-0.0356,23.22300000000001,23.22300000000001,23.22300000000001
7.1734,4.3241,-5.5644,0.2225,-0.1495,-0.0356,23.22300000000001,23.22300000000001,23.22300000000001
7.3745,4.5348,-5.3561,0.2564,-0.2046,-0.0675,23.22300000000001,23.22300000000001,23.22300000000001
7.4511,4.1661,-5.3585,0.3264,-0.2148,-0.0928,23.0443,23.0443,23.0443
7.4511,4.1661,-5.3585,0.3264,-0.2148,-0.0928,23.0443,23.0443,23.0443
7.3602,4.1781,-5.4543,0.2878,-0.2001,-0.0838,23.0443,23.0443,23.0443
7.3218,4.2499,-5.4567,0.2404,-0.2065,-0.0771,23.0443,23.0443,23.0443
7.3218,4.2499,-5.4567,0.2404,-0.2065,-0.0771,23.0443,23.0443,23.0443
7.3147,4.2475,-5.4806,0.2058,-0.2172,-0.08,23.0443,23.0443,23.0443
7.2907,4.2739,-5.5884,0.2023,-0.2353,-0.0771,23.0443,23.0443,23.0443
7.2907,4.2739,-5.5884,0.2023,-0.2353,-0.0771,23.0443,23.0443,23.0443
7.2404,4.3265,-5.4471,0.1815,-0.2686,-0.0691,23.0443,23.0443,23.0443
7.2404,4.3265,-5.4471,0.1815,-0.2686,-0.0691,23.0443,23.0443,23.0443
7.1854,4.5229,-5.2891,0.1826,-0.2779,-0.0683,23.5802,23.5802,23.5802
7.1495,4.5708,-5.1765,0.2289,-0.2539,-0.0851,23.5802,23.5802,23.5802
7.1495,4.5708,-5.1765,0.2289,-0.2539,-0.0851,23.5802,23.5802,23.5802
7.1399,4.3577,-5.2962,0.287,-0.2142,-0.0979,23.5802,23.5802,23.5802
7.1447,4.2499,-5.4351,0.2766,-0.1929,-0.0856,23.5802,23.5802,23.5802
7.1447,4.2499,-5.4351,0.2766,-0.1929,-0.0856,23.5802,23.5802,23.5802
7.1351,4.3241,-5.5931,0.247,-0.1929,-0.0561,23.5802,23.5802,23.5802
7.1351,4.3385,-5.562,0.2327,-0.2145,-0.0265,23.5802,23.5802,23.5802
7.1351,4.3385,-5.562,0.2327,-0.2145,-0.0265,23.5802,23.5802,23.5802
7.08,4.4894,-5.4974,0.2194,-0.235,0.0015,24.8307,24.8307,24.8307
7.08,4.4894,-5.4974,0.2194,-0.235,0.0015,24.8307,24.8307,24.8307
7.0585,4.6426,-5.4567,0.2396,-0.2369,0.0092,24.8307,24.8307,24.8307
7.0561,4.7599,-5.5788,0.2505,-0.2366,-0.0055,24.8307,24.8307,24.8307
7.0561,4.7599,-5.5788,0.2505,-0.2366,-0.0055,24.8307,24.8307,24.8307
7.0609,4.8174,-5.7799,0.251,-0.2544,-0.039,24.8307,24.8307,24.8307
7.0249,4.9203,-5.8182,0.2279,-0.2989,-0.0875,24.8307,24.8307,24.8307
7.0249,4.9203,-5.8182,0.2279,-0.2989,-0.0875,24.8307,24.8307,24.8307
6.9627,5.7057,-5.9523,0.18899999999999997,-0.3578,-0.1693,24.8307,24.8307,24.8307
6.4096,5.9667,-6.4239999999999995,0.2657,-0.4555,-0.3629,24.8307,24.8307,24.8307
6.4096,5.9667,-6.4239999999999995,0.2657,-0.4555,-0.3629,24.8307,24.8307,24.8307
6.2324,5.9379,-5.9116,0.3951,-0.6704,-0.5757,22.6871,22.6871,22.6871
6.2324,5.9379,-5.9116,0.3951,-0.6704,-0.5757,22.6871,22.6871,22.6871
4.3481,5.38,-5.3681,0.4766,-0.5809,-0.5448,22.6871,22.6871,22.6871
4.815,5.6482,-5.7847,0.5472,-0.1365,-0.3442,22.6871,22.6871,22.6871
4.815,5.6482,-5.7847,0.5472,-0.1365,-0.3442,22.6871,22.6871,22.6871
5.4112,4.1206,-5.6961,0.6862,0.0726,-0.1922,22.6871,22.6871,22.6871
6.2516,4.4079,-5.2364,0.4606,0.1429,0.0377,22.6871,22.6871,22.6871
6.2516,4.4079,-5.2364,0.4606,0.1429,0.0377,22.6871,22.6871,22.6871
6.6754,5.3154,-5.0784,0.251,0.1205,0.1351,22.6871,22.6871,22.6871
7.104,5.6291,-4.8437,0.3666,0.0518,0.0678,18.3997,18.3997,18.3997
7.104,5.6291,-4.8437,0.3666,0.0518,0.0678,18.3997,18.3997,18.3997
7.4751,5.3393,-4.5875,0.6013,-0.0558,-0.0531,18.3997,18.3997,18.3997
7.7001,4.724,-4.5253,0.7065,-0.1492,-0.0973,18.3997,18.3997,18.3997
7.7001,4.724,-4.5253,0.7065,-0.1492,-0.0973,18.3997,18.3997,18.3997
7.7863,4.6163,-4.6067,0.606,-0.2267,-0.0116,18.3997,18.3997,18.3997
7.7863,4.6163,-4.6067,0.606,-0.2267,-0.0116,18.3997,18.3997,18.3997
7.8103,4.5348,-4.8557,0.4404,-0.276,0.1269,18.3997,18.3997,18.3997
7.6475,4.9898,-5.3609,0.2612,-0.3056,0.2473,18.3997,18.3997,18.3997
7.6475,4.9898,-5.3609,0.2612,-0.3056,0.2473,18.3997,18.3997,18.3997
7.3649,5.167000000000002,-5.6841,0.2889,-0.3687,0.2372,19.8288,19.8288,19.8288
7.25,4.8701,-5.8421,0.4116,-0.4126,0.1759,19.8288,19.8288,19.8288
7.25,4.8701,-5.8421,0.4116,-0.4126,0.1759,19.8288,19.8288,19.8288
7.104,4.5061,-6.1223,0.4433,-0.4507,0.1706,19.8288,19.8288,19.8288
6.9435,4.1446,-6.1438,0.3704,-0.4635,0.2366,19.8288,19.8288,19.8288
6.9435,4.1446,-6.1438,0.3704,-0.4635,0.2366,19.8288,19.8288,19.8288
6.7017,4.1302,-6.3545,0.2188,-0.4228,0.3338,19.8288,19.8288,19.8288
