AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.4088,-7.3003,4.1685,0.6970000000000001,0.4507,0.0683,-0.5359,-0.5359,-0.5359
5.3968,-7.3099,4.1087,0.6744,0.4595,0.0635,-0.5359,-0.5359,-0.5359
5.3777,-7.2548,4.135,0.6598,0.4589,0.0603,-0.5359,-0.5359,-0.5359
5.3777,-7.2548,4.135,0.6598,0.4589,0.0603,-0.5359,-0.5359,-0.5359
5.3657,-7.3266,4.2044,0.6483,0.4651,0.0485,-0.5359,-0.5359,-0.5359
5.3657,-7.2668,4.1853,0.659,0.4808,0.0451,-0.5359,-0.5359,-0.5359
5.3657,-7.2668,4.1853,0.659,0.4808,0.0451,-0.5359,-0.5359,-0.5359
5.3609,-7.2955,4.0727,0.6507,0.4936,0.0336,-2.1437,-2.1437,-2.1437
5.3657,-7.4056,4.0225,0.6116,0.4925,0.023,-2.1437,-2.1437,-2.1437
5.3657,-7.4056,4.0225,0.6116,0.4925,0.023,-2.1437,-2.1437,-2.1437
5.3681,-7.5779999999999985,3.9674,0.5847,0.4749,0.0334,-2.1437,-2.1437,-2.1437
5.3561,-7.5349,3.9842,0.6198,0.4517,0.0749,-2.1437,-2.1437,-2.1437
5.3561,-7.5349,3.9842,0.6198,0.4517,0.0749,-2.1437,-2.1437,-2.1437
5.3178,-7.4296,4.1015,0.6675,0.4392,0.1095,-2.1437,-2.1437,-2.1437
5.2962,-7.4463,4.1206,0.6707,0.4424,0.1186,-2.1437,-2.1437,-2.1437
5.2962,-7.4463,4.1206,0.6707,0.4424,0.1186,-2.1437,-2.1437,-2.1437
5.3058,-7.6235,4.0129,0.6509999999999999,0.4459,0.1282,-1.965,-1.965,-1.965
5.2843,-7.7983,3.9626,0.6622,0.4352,0.1711,-1.965,-1.965,-1.965
5.2843,-7.7983,3.9626,0.6622,0.4352,0.1711,-1.965,-1.965,-1.965
5.246,-7.9803,3.9482,0.6813,0.4195,0.244,-1.965,-1.965,-1.965
5.1262,-8.0521,3.7567,0.6976,0.395,0.3394,-1.965,-1.965,-1.965
5.1262,-8.0521,3.7567,0.6976,0.395,0.3394,-1.965,-1.965,-1.965
4.6043,-8.2317,3.5029,0.7743,0.3226,0.5436,-1.965,-1.965,-1.965
3.2084,-7.3913,3.6202,0.9695,0.0089,0.5841,-1.965,-1.965,-1.965
3.2084,-7.3913,3.6202,0.9695,0.0089,0.5841,-1.965,-1.965,-1.965
3.5149,-8.4328,3.5843,0.7375,-0.28600000000000003,0.0677,0.7146,0.7146,0.7146
4.621,-8.361,2.9498,0.8323,-0.3288,-0.0835,0.7146,0.7146,0.7146
4.621,-8.361,2.9498,0.8323,-0.3288,-0.0835,0.7146,0.7146,0.7146
5.0592,-8.1431,2.8277,0.9953,-0.1509,-0.0756,0.7146,0.7146,0.7146
5.4279,-7.4751,3.0336,0.9618,0.4155,-0.429,0.7146,0.7146,0.7146
5.9331,-7.6858,2.9139,0.8536,0.5093,-0.5406,0.7146,0.7146,0.7146
6.0552,-7.3697,3.0073,0.9740000000000001,0.5079,-0.4615,0.7146,0.7146,0.7146
6.0552,-7.3697,3.0073,0.9740000000000001,0.5079,-0.4615,0.7146,0.7146,0.7146
6.1965,-6.9268,3.4526,1.1208,0.5135,-0.3954,1.4291,1.4291,1.4291
6.2971,-6.4910000000000005,4.0464,1.1924,0.5569,-0.3613,1.4291,1.4291,1.4291
6.2971,-6.4910000000000005,4.0464,1.1924,0.5569,-0.3613,1.4291,1.4291,1.4291
6.3329999999999975,-6.3066,4.7264,1.0995,0.6264,-0.3539,1.4291,1.4291,1.4291
6.0505,-6.3210000000000015,5.0233,0.8877,0.7436,-0.3714,1.4291,1.4291,1.4291
6.0505,-6.3210000000000015,5.0233,0.8877,0.7436,-0.3714,1.4291,1.4291,1.4291
5.7512,-6.5413,5.1478,0.7090000000000001,0.8121,-0.4058,1.4291,1.4291,1.4291
5.8302,-6.4934,5.2962,0.7705,0.7628,-0.3123,1.4291,1.4291,1.4291
5.8302,-6.4934,5.2962,0.7705,0.7628,-0.3123,1.4291,1.4291,1.4291
6.1462,-6.0361,5.4878,0.9261,0.631,-0.1182,-0.1786,-0.1786,-0.1786
6.2995,-5.7871,5.6338,0.8837,0.5625,0.0267,-0.1786,-0.1786,-0.1786
6.2995,-5.7871,5.6338,0.8837,0.5625,0.0267,-0.1786,-0.1786,-0.1786
6.1702,-5.926,5.4351,0.721,0.5758,0.0981,-0.1786,-0.1786,-0.1786
5.8661,-6.242000000000001,5.1502,0.6286,0.5969,0.1242,-0.1786,-0.1786,-0.1786
5.8661,-6.242000000000001,5.1502,0.6286,0.5969,0.1242,-0.1786,-0.1786,-0.1786
5.8445,-6.4216,5.1071,0.6976,0.5426,0.1612,-0.1786,-0.1786,-0.1786
5.7943,-6.3952,5.1262,0.7519,0.4533,0.2078,-0.1786,-0.1786,-0.1786
5.7943,-6.3952,5.1262,0.7519,0.4533,0.2078,-0.1786,-0.1786,-0.1786
5.8589,-6.4503,5.0760000000000005,0.7436,0.3601,0.228,-1.7864,-1.7864,-1.7864
5.8589,-6.4766,4.9826,0.7263,0.3212,0.256,-1.7864,-1.7864,-1.7864
5.8589,-6.4766,4.9826,0.7263,0.3212,0.256,-1.7864,-1.7864,-1.7864
5.7129,-6.593999999999999,5.0401,0.7077,0.3202,0.2813,-1.7864,-1.7864,-1.7864
5.4806,-6.6778,5.1119,0.6795,0.3532,0.2637,-1.7864,-1.7864,-1.7864
5.4806,-6.6778,5.1119,0.6795,0.3532,0.2637,-1.7864,-1.7864,-1.7864
5.1191,-6.91,5.2436,0.591,0.4129,0.1657,-1.7864,-1.7864,-1.7864
4.882,-7.013,5.0855,0.4624,0.4997,-0.0018,-1.7864,-1.7864,-1.7864
4.882,-7.013,5.0855,0.4624,0.4997,-0.0018,-1.7864,-1.7864,-1.7864
5.2388,-7.4296,4.6833,0.3844,0.4893,-0.1355,-0.8932,-0.8932,-0.8932
5.4399,-7.4751,4.2906,0.451,0.4669,-0.0945,-0.8932,-0.8932,-0.8932
5.4399,-7.4751,4.2906,0.451,0.4669,-0.0945,-0.8932,-0.8932,-0.8932
5.5237,-7.4056,4.2451,0.5279,0.5442,-0.0785,-0.8932,-0.8932,-0.8932
5.5237,-7.4056,4.2451,0.5279,0.5442,-0.0785,-0.8932,-0.8932,-0.8932
5.7368,-7.2333,4.2308,0.615,0.6906,-0.1238,-0.8932,-0.8932,-0.8932
5.756,-7.0944,4.3912,0.6811,0.7556,-0.136,-0.8932,-0.8932,-0.8932
5.6195,-6.8071,4.7072,0.7170000000000001,0.7386,-0.0857,-0.8932,-0.8932,-0.8932
5.6195,-6.8071,4.7072,0.7170000000000001,0.7386,-0.0857,-0.8932,-0.8932,-0.8932
5.6051,-6.6035,4.815,0.6669,0.7234,-0.0487,-0.8932,-0.8932,-0.8932
5.6051,-6.6035,4.815,0.6669,0.7234,-0.0487,-0.8932,-0.8932,-0.8932
5.5093,-6.6658,4.8533,0.5684,0.7111,-0.0396,-2.1437,-2.1437,-2.1437
5.4231,-6.6658,5.0329,0.5346,0.7274,-0.0444,-2.1437,-2.1437,-2.1437
5.4231,-6.6658,5.0329,0.5346,0.7274,-0.0444,-2.1437,-2.1437,-2.1437
4.5971,-7.76,5.2867,0.5727,0.6166,-0.2138,-2.1437,-2.1437,-2.1437
5.5931,-7.068,4.8892,0.672,0.5396,-0.2252,-2.1437,-2.1437,-2.1437
5.5931,-7.068,4.8892,0.672,0.5396,-0.2252,-2.1437,-2.1437,-2.1437
5.7296,-6.6514,4.7192,0.7269,0.4648,-0.1243,-2.1437,-2.1437,-2.1437
5.5405,-6.7017,5.0281,0.6683,0.3138,-0.0234,-2.1437,-2.1437,-2.1437
5.5405,-6.7017,5.0281,0.6683,0.3138,-0.0234,-2.1437,-2.1437,-2.1437
5.3202,-6.4503,5.234,0.6278,0.2195,0.1015,-3.3941,-3.3941,-3.3941
5.2891,-6.4239999999999995,5.064,0.5514,0.2312,0.1505,-3.3941,-3.3941,-3.3941
5.2891,-6.4239999999999995,5.064,0.5514,0.2312,0.1505,-3.3941,-3.3941,-3.3941
5.2603,-6.9603,4.8198,0.5183,0.3037,0.1359,-3.3941,-3.3941,-3.3941
5.4854,-6.91,4.5756,0.5958,0.2848,0.2669,-3.3941,-3.3941,-3.3941
5.4854,-6.91,4.5756,0.5958,0.2848,0.2669,-3.3941,-3.3941,-3.3941
5.4399,-6.4671,4.4846,0.6419,0.1513,0.4589,-3.3941,-3.3941,-3.3941
5.0808,-6.5772,4.2451,0.4811,0.1034,0.4201,-3.3941,-3.3941,-3.3941
5.0808,-6.5772,4.2451,0.4811,0.1034,0.4201,-3.3941,-3.3941,-3.3941
5.064,-7.3745,3.6466,0.3162,0.18600000000000005,0.2544,-2.8582,-2.8582,-2.8582
5.0329,-8.0401,3.0671,0.2571,0.3175,0.0813,-2.8582,-2.8582,-2.8582
5.0329,-8.0401,3.0671,0.2571,0.3175,0.0813,-2.8582,-2.8582,-2.8582
5.2412,-8.6387,2.6936,0.3474,0.3878,0.0214,-2.8582,-2.8582,-2.8582
5.1885,-8.4951,2.8923,0.578,0.326,0.1428,-2.8582,-2.8582,-2.8582
5.1885,-8.4951,2.8923,0.578,0.326,0.1428,-2.8582,-2.8582,-2.8582
4.9706,-8.1742,3.5436,0.7849,0.2781,0.2933,-2.8582,-2.8582,-2.8582
4.8796,-7.7624,3.8788,0.9112,0.3625,0.3514,-2.8582,-2.8582,-2.8582
4.8796,-7.7624,3.8788,0.9112,0.3625,0.3514,-2.8582,-2.8582,-2.8582
5.0401,-7.6187,3.9602,0.9461,0.5585,0.2358,-1.7864,-1.7864,-1.7864
5.3226,-7.444,3.8357,0.8994,0.6954,0.0717,-1.7864,-1.7864,-1.7864
5.3226,-7.444,3.8357,0.8994,0.6954,0.0717,-1.7864,-1.7864,-1.7864
5.313,-7.444,3.9219,0.8132,0.7002,-0.0564,-1.7864,-1.7864,-1.7864
5.2077,-7.3913,4.1996,0.8446,0.6342,-0.0598,-1.7864,-1.7864,-1.7864
5.2077,-7.3913,4.1996,0.8446,0.6342,-0.0598,-1.7864,-1.7864,-1.7864
5.2005,-7.0417,4.657,0.8973,0.5788,-0.0005,-1.7864,-1.7864,-1.7864
5.2675,-6.8047,4.9395,0.8733,0.5575,0.0331,-1.7864,-1.7864,-1.7864
5.2675,-6.8047,4.9395,0.8733,0.5575,0.0331,-1.7864,-1.7864,-1.7864
5.3441,-6.5604,5.1071,0.7809,0.5207,0.0485,-1.7864,-1.7864,-1.7864
5.2316,-6.4288,5.1526,0.648,0.4627,0.0557,-3.0368,-3.0368,-3.0368
5.2316,-6.4288,5.1526,0.648,0.4627,0.0557,-3.0368,-3.0368,-3.0368
5.1933,-6.685,5.1215,0.5455,0.4342,0.0555,-3.0368,-3.0368,-3.0368
5.2053,-6.9603,5.0664,0.4808,0.419,0.0978,-3.0368,-3.0368,-3.0368
5.2053,-6.9603,5.0664,0.4808,0.419,0.0978,-3.0368,-3.0368,-3.0368
5.2531,-6.9818,4.8246,0.4496,0.4073,0.1471,-3.0368,-3.0368,-3.0368
5.2244,-7.4463,4.7479,0.4065,0.41100000000000003,0.126,-3.0368,-3.0368,-3.0368
5.2244,-7.4463,4.7479,0.4065,0.41100000000000003,0.126,-3.0368,-3.0368,-3.0368
5.1622,-7.4823,4.6785,0.4299,0.4270000000000001,0.1343,-3.0368,-3.0368,-3.0368
5.2962,-7.4966,4.5564,0.4587,0.4435,0.1617,-1.4291,-1.4291,-1.4291
5.2962,-7.4966,4.5564,0.4587,0.4435,0.1617,-1.4291,-1.4291,-1.4291
5.3226,-7.4871,4.4918,0.4464,0.4414,0.1407,-1.4291,-1.4291,-1.4291
5.3393,-7.6642,4.2403,0.4579,0.3966,0.1346,-1.4291,-1.4291,-1.4291
5.3393,-7.6642,4.2403,0.4579,0.3966,0.1346,-1.4291,-1.4291,-1.4291
5.313,-7.6116,4.3649,0.5764,0.2959,0.2105,-1.4291,-1.4291,-1.4291
5.2077,-7.42,4.6905,0.7112,0.1939,0.3034,-1.4291,-1.4291,-1.4291
5.2077,-7.42,4.6905,0.7112,0.1939,0.3034,-1.4291,-1.4291,-1.4291
5.1693,-7.3578,4.803,0.721,0.1977,0.2888,-1.4291,-1.4291,-1.4291
5.1693,-7.3578,4.803,0.721,0.1977,0.2888,-1.4291,-1.4291,-1.4291
5.2699,-7.5158,4.6067,0.6366,0.24,0.2091,-0.3573,-0.3573,-0.3573
5.2172,-7.6594,4.4175,0.5823,0.2222,0.1817,-0.3573,-0.3573,-0.3573
5.2172,-7.6594,4.4175,0.5823,0.2222,0.1817,-0.3573,-0.3573,-0.3573
5.1334,-7.7385,4.0943,0.5524,0.2011,0.1513,-0.3573,-0.3573,-0.3573
5.0472,-7.9635,3.8812,0.5463,0.203,0.0869,-0.3573,-0.3573,-0.3573
5.0472,-7.9635,3.8812,0.5463,0.203,0.0869,-0.3573,-0.3573,-0.3573
5.0089,-8.2652,3.5628,0.545,0.2379,-0.0042,-0.3573,-0.3573,-0.3573
4.985,-8.3322,3.4335,0.5743,0.2637,-0.0567,-0.3573,-0.3573,-0.3573
4.985,-8.3322,3.4335,0.5743,0.2637,-0.0567,-0.3573,-0.3573,-0.3573
4.9634,-8.3538,3.3473,0.6608,0.28,-0.0732,-1.7864,-1.7864,-1.7864
5.0209,-8.1192,3.4742,0.7727,0.3109,-0.0966,-1.7864,-1.7864,-1.7864
