AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.3889,-5.1981,4.4008,0.8014,0.01,-0.2931,-56.8069,-56.8069,-56.8069
7.3769,-5.1693,4.4295,0.7849,0.0108,-0.2923,-56.8069,-56.8069,-56.8069
7.3769,-5.1693,4.4295,0.7849,0.0108,-0.2923,-56.8069,-56.8069,-56.8069
7.3841,-5.0975,4.396,0.7694,0.0092,-0.3001,-56.8069,-56.8069,-56.8069
7.3649,-5.1646,4.3912,0.7263,0.006999999999999999,-0.319,-55.5565,-55.5565,-55.5565
7.3841,-5.2915,4.3553,0.7178,0.0049,-0.3227,-55.5565,-55.5565,-55.5565
7.3841,-5.2915,4.3553,0.7178,0.0049,-0.3227,-55.5565,-55.5565,-55.5565
7.353,-5.3226,4.4415,0.7662,0.0033,-0.3019,-55.5565,-55.5565,-55.5565
7.3338,-5.2627,4.5037,0.7982,0.0129,-0.2806,-55.5565,-55.5565,-55.5565
7.3338,-5.2627,4.5037,0.7982,0.0129,-0.2806,-55.5565,-55.5565,-55.5565
7.353,-5.2388,4.4415,0.7886,0.0238,-0.2748,-55.5565,-55.5565,-55.5565
7.353,-5.2388,4.4415,0.7886,0.0238,-0.2748,-55.5565,-55.5565,-55.5565
7.3242,-5.2005,4.4175,0.7529,0.027000000000000003,-0.2774,-55.5565,-55.5565,-55.5565
7.3147,-5.2699,4.4941,0.7148,0.0302,-0.2854,-55.5565,-55.5565,-55.5565
7.3147,-5.2699,4.4941,0.7148,0.0302,-0.2854,-55.5565,-55.5565,-55.5565
7.3123,-5.3753,4.4678,0.6917,0.0385,-0.2809,-56.0924,-56.0924,-56.0924
7.3075,-5.5405,4.4175,0.7079,0.0449,-0.2574,-56.0924,-56.0924,-56.0924
7.3075,-5.5405,4.4175,0.7079,0.0449,-0.2574,-56.0924,-56.0924,-56.0924
7.2644,-5.6817,4.6857,0.7625,0.0531,-0.2036,-56.0924,-56.0924,-56.0924
7.2045,-5.6314,4.8437,0.7931,0.0917,-0.1379,-56.0924,-56.0924,-56.0924
7.2045,-5.6314,4.8437,0.7931,0.0917,-0.1379,-56.0924,-56.0924,-56.0924
7.1686,-5.6243,4.8389,0.7628,0.1501,-0.0878,-56.0924,-56.0924,-56.0924
7.0968,-6.0193,4.9563,0.6624,0.2158,-0.0463,-56.0924,-56.0924,-56.0924
7.0968,-6.0193,4.9563,0.6624,0.2158,-0.0463,-56.0924,-56.0924,-56.0924
6.5581,-6.4695,4.9634,0.5942,0.28800000000000003,0.0544,-53.5915,-53.5915,-53.5915
6.5126,-6.5126,5.1909,0.6014,0.4015,0.2627,-53.5915,-53.5915,-53.5915
6.5126,-6.5126,5.1909,0.6014,0.4015,0.2627,-53.5915,-53.5915,-53.5915
5.9116,-6.1295,4.7336,0.6192,0.5421,0.3327,-53.5915,-53.5915,-53.5915
5.392,-6.7711,4.4151,0.5044,0.4185,0.0222,-53.5915,-53.5915,-53.5915
5.392,-6.7711,4.4151,0.5044,0.4185,0.0222,-53.5915,-53.5915,-53.5915
5.8445,-6.6203,4.1134,0.6584,0.1471,-0.2479,-53.5915,-53.5915,-53.5915
6.4838,-6.0433,4.6282,0.8424,-0.0907,-0.4513,-53.5915,-53.5915,-53.5915
6.4838,-6.0433,4.6282,0.8424,-0.0907,-0.4513,-53.5915,-53.5915,-53.5915
7.5301,-6.3474,3.8812,0.71,-0.0968,-0.6111,-47.3391,-47.3391,-47.3391
8.0808,-6.3354,3.5484,0.6267,-0.1008,-0.6228,-47.3391,-47.3391,-47.3391
8.0808,-6.3354,3.5484,0.6267,-0.1008,-0.6228,-47.3391,-47.3391,-47.3391
8.3897,-6.0193,3.2587,0.7452,-0.0401,-0.5057,-47.3391,-47.3391,-47.3391
8.3251,-5.5093,3.2275,0.8459,0.0763,-0.4239,-47.3391,-47.3391,-47.3391
8.3251,-5.5093,3.2275,0.8459,0.0763,-0.4239,-47.3391,-47.3391,-47.3391
7.9611,-4.9754,3.4646,0.8392,0.1831,-0.4577,-47.3391,-47.3391,-47.3391
7.8007,-4.882,3.6513,0.7417,0.2555,-0.5818,-47.3391,-47.3391,-47.3391
7.8007,-4.882,3.6513,0.7417,0.2555,-0.5818,-47.3391,-47.3391,-47.3391
7.6978,-4.9155,3.9794,0.6285,0.2877,-0.6697,-43.4091,-43.4091,-43.4091
