AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
6.6419,0.9122,7.3769,-0.0176,-0.0607,0.0626,-13.9338,-13.9338,-13.9338
6.6227,1.02,7.4631,0.0266,-0.0679,0.0839,-13.9338,-13.9338,-13.9338
6.6227,1.02,7.4631,0.0266,-0.0679,0.0839,-13.9338,-13.9338,-13.9338
6.6227,1.087,7.5779999999999985,0.0453,-0.0575,0.0882,-13.9338,-13.9338,-13.9338
6.6155,1.0607,7.5613,0.0298,-0.0333,0.078,-13.9338,-13.9338,-13.9338
6.6155,1.0607,7.5613,0.0298,-0.0333,0.078,-13.9338,-13.9338,-13.9338
6.6275,1.0176,7.4224,0.0173,-0.0101,0.0724,-13.9338,-13.9338,-13.9338
6.6131,0.9745,7.407999999999999,0.0195,-0.0085,0.0738,-15.8988,-15.8988,-15.8988
6.6131,0.9745,7.407999999999999,0.0195,-0.0085,0.0738,-15.8988,-15.8988,-15.8988
6.6347,0.9386,7.3889,0.0456,-0.0157,0.0903,-15.8988,-15.8988,-15.8988
6.6442,0.9434,7.4224,0.0679,-0.0242,0.1103,-15.8988,-15.8988,-15.8988
6.6442,0.9434,7.4224,0.0679,-0.0242,0.1103,-15.8988,-15.8988,-15.8988
6.6323,1.1397,7.3673,0.078,-0.0293,0.1238,-15.8988,-15.8988,-15.8988
6.6395,1.1421,7.3793,0.0434,-0.0399,0.1025,-15.8988,-15.8988,-15.8988
6.6395,1.1421,7.3793,0.0434,-0.0399,0.1025,-15.8988,-15.8988,-15.8988
6.6251,1.0128,7.5014,-0.0053,-0.0511,0.0775,-15.8988,-15.8988,-15.8988
6.6371,0.9601,7.4823,-0.0037,-0.0405,0.0807,-15.0056,-15.0056,-15.0056
6.6371,0.9601,7.4823,-0.0037,-0.0405,0.0807,-15.0056,-15.0056,-15.0056
6.6227,1.008,7.4559,0.0277,-0.0306,0.0951,-15.0056,-15.0056,-15.0056
6.6227,1.0535,7.4871,0.0445,-0.0287,0.1015,-15.0056,-15.0056,-15.0056
6.6227,1.0535,7.4871,0.0445,-0.0287,0.1015,-15.0056,-15.0056,-15.0056
6.6203,1.0703,7.5397,0.0421,-0.0194,0.0993,-15.0056,-15.0056,-15.0056
6.6179,1.087,7.5709,0.0551,0.0011,0.094,-15.0056,-15.0056,-15.0056
6.6179,1.087,7.5709,0.0551,0.0011,0.094,-15.0056,-15.0056,-15.0056
6.6035,0.9769,7.5301,0.0498,0.0243,0.0879,-15.0056,-15.0056,-15.0056
6.593999999999999,0.9721,7.5517,0.0402,0.0421,0.0951,-15.0056,-15.0056,-15.0056
6.593999999999999,0.9721,7.5517,0.0402,0.0421,0.0951,-15.0056,-15.0056,-15.0056
6.5796,0.929,7.4703,0.0197,0.0536,0.1065,-15.1842,-15.1842,-15.1842
6.5509,0.9074,7.6403,0.0013,0.055999999999999994,0.12300000000000001,-15.1842,-15.1842,-15.1842
6.5509,0.9074,7.6403,0.0013,0.055999999999999994,0.12300000000000001,-15.1842,-15.1842,-15.1842
6.5221,0.8093,7.7983,-0.0269,0.0773,0.1419,-15.1842,-15.1842,-15.1842
6.4503,0.2969,8.1527,-0.1238,0.1279,0.1726,-15.1842,-15.1842,-15.1842
6.4503,0.2969,8.1527,-0.1238,0.1279,0.1726,-15.1842,-15.1842,-15.1842
6.0864,-0.0623,8.7465,0.0453,0.2448,0.3329,-15.1842,-15.1842,-15.1842
6.8119,-0.1006,8.3682,0.539,0.4509,0.5614,-15.1842,-15.1842,-15.1842
6.8119,-0.1006,8.3682,0.539,0.4509,0.5614,-15.1842,-15.1842,-15.1842
6.254,0.5148,7.0513,0.3377,0.3367,0.2748,-15.3629,-15.3629,-15.3629
6.2157,-0.3783,8.3969,-0.0985,-0.2152,-0.2136,-15.3629,-15.3629,-15.3629
6.2157,-0.3783,8.3969,-0.0985,-0.2152,-0.2136,-15.3629,-15.3629,-15.3629
6.1917,-0.3448,8.597999999999999,0.0477,-0.4519,-0.3515,-15.3629,-15.3629,-15.3629
6.7688,0.0862,8.0114,0.4003,-0.5587,-0.3457,-15.3629,-15.3629,-15.3629
6.7688,0.0862,8.0114,0.4003,-0.5587,-0.3457,-15.3629,-15.3629,-15.3629
7.3386,0.9098,8.3873,0.6107,-0.5928,-0.3065,-15.3629,-15.3629,-15.3629
7.7145,1.2283,7.4009,0.4717,-0.3869,-0.3329,-15.3629,-15.3629,-15.3629
7.7145,1.2283,7.4009,0.4717,-0.3869,-0.3329,-15.3629,-15.3629,-15.3629
7.7408,1.4174,6.8478,0.2442,-0.2983,-0.4043,-14.4697,-14.4697,-14.4697
7.6235,1.4629,7.3123,0.126,-0.3385,-0.4386,-14.4697,-14.4697,-14.4697
7.6235,1.4629,7.3123,0.126,-0.3385,-0.4386,-14.4697,-14.4697,-14.4697
7.6499,1.755,7.104,0.2157,-0.2383,-0.3534,-14.4697,-14.4697,-14.4697
7.5637,2.1884,6.649,0.2637,-0.0969,-0.2346,-14.4697,-14.4697,-14.4697
7.5637,2.1884,6.649,0.2637,-0.0969,-0.2346,-14.4697,-14.4697,-14.4697
7.25,2.1214,6.9531,0.1286,-0.0495,-0.2112,-14.4697,-14.4697,-14.4697
7.0776,2.2459,7.0513,0.2014,0.0466,-0.08199999999999999,-14.4697,-14.4697,-14.4697
7.0776,2.2459,7.0513,0.2014,0.0466,-0.08199999999999999,-14.4697,-14.4697,-14.4697
7.341,2.708,6.3761,0.4597,0.2592,0.1308,-8.5746,-8.5746,-8.5746
6.9866,2.7367,6.0026,0.2418,0.3417,0.0844,-8.5746,-8.5746,-8.5746
6.9866,2.7367,6.0026,0.2418,0.3417,0.0844,-8.5746,-8.5746,-8.5746
6.345,2.3249,7.0345,-0.057999999999999996,0.2568,-0.0056,-8.5746,-8.5746,-8.5746
5.9643,2.5452,7.0968,0.032,0.3596,0.1001,-8.5746,-8.5746,-8.5746
5.9643,2.5452,7.0968,0.032,0.3596,0.1001,-8.5746,-8.5746,-8.5746
5.8876,2.6553,6.4096,0.0711,0.4208,0.1321,-8.5746,-8.5746,-8.5746
5.5333,2.6098,6.9052,-0.0189,0.3018,0.1236,-8.5746,-8.5746,-8.5746
5.5333,2.6098,6.9052,-0.0189,0.3018,0.1236,-8.5746,-8.5746,-8.5746
5.4136,2.4853,7.2452,-0.0165,0.2363,0.1654,-8.5746,-8.5746,-8.5746
5.7679,2.7295,7.08,0.1401,0.2821,0.2258,-2.3223,-2.3223,-2.3223
5.7679,2.7295,7.08,0.1401,0.2821,0.2258,-2.3223,-2.3223,-2.3223
5.7895,2.7607,6.8047,-0.0192,0.326,0.1574,-2.3223,-2.3223,-2.3223
5.6602,2.1645,7.4152,-0.2439,0.3268,0.1028,-2.3223,-2.3223,-2.3223
5.6602,2.1645,7.4152,-0.2439,0.3268,0.1028,-2.3223,-2.3223,-2.3223
5.4591,1.9369999999999998,7.3841,-0.2272,0.3585,0.1513,-2.3223,-2.3223,-2.3223
5.7272,1.9729,7.2763,-0.0274,0.2453,0.2091,-2.3223,-2.3223,-2.3223
5.7272,1.9729,7.2763,-0.0274,0.2453,0.2091,-2.3223,-2.3223,-2.3223
6.0912,1.9059,7.5779999999999985,0.048,0.1289,0.192,-2.3223,-2.3223,-2.3223
6.1271,1.6784,7.7049,-0.0751,0.1422,0.1158,2.6796,2.6796,2.6796
