AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
6.0959,-5.2388,5.9547,-0.11800000000000001,0.0775,-0.0056,4.2873,4.2873,4.2873
6.0959,-5.2388,5.9547,-0.11800000000000001,0.0775,-0.0056,4.2873,4.2873,4.2873
6.1031,-5.3657,5.8326,-0.2072,0.0945,-0.0541,4.2873,4.2873,4.2873
6.0888,-5.8613,5.8469,-0.2852,0.0943,-0.0714,4.2873,4.2873,4.2873
6.0888,-5.8613,5.8469,-0.2852,0.0943,-0.0714,4.2873,4.2873,4.2873
6.072,-5.926,5.8852,-0.2248,0.0919,-0.0006,4.2873,4.2873,4.2873
6.0145,-6.1654,6.2157,-0.1513,0.0985,0.0892,4.2873,4.2873,4.2873
6.0145,-6.1654,6.2157,-0.1513,0.0985,0.0892,4.2873,4.2873,4.2873
5.9619,-6.6634,6.4168,-0.0429,0.1534,0.2386,4.2873,4.2873,4.2873
5.8661,-6.7544,6.084,-0.053,0.2274,0.4546,4.2873,4.2873,4.2873
5.8661,-6.7544,6.084,-0.053,0.2274,0.4546,4.2873,4.2873,4.2873
5.1215,-5.9307,5.811,0.0791,0.237,0.6785,4.1087,4.1087,4.1087
4.894,-4.8677,4.3146,0.3372,0.0937,0.7262,4.1087,4.1087,4.1087
4.894,-4.8677,4.3146,0.3372,0.0937,0.7262,4.1087,4.1087,4.1087
4.9467,-5.1622,6.8813,0.4544,-0.4008,0.3515,4.1087,4.1087,4.1087
4.2739,-5.8876,7.0585,0.1382,-0.2733,-0.2171,4.1087,4.1087,4.1087
4.2739,-5.8876,7.0585,0.1382,-0.2733,-0.2171,4.1087,4.1087,4.1087
3.898,-7.4751,6.4958,-0.1553,-0.2453,-0.741,4.1087,4.1087,4.1087
5.6889,-6.8238,6.4886,0.2573,-0.4176,-0.6970000000000001,4.1087,4.1087,4.1087
5.6889,-6.8238,6.4886,0.2573,-0.4176,-0.6970000000000001,4.1087,4.1087,4.1087
7.2333,-5.3944,6.4599,0.4035,-0.3806,-0.6059,0.1786,0.1786,0.1786
7.9061,-4.9515,6.1438,0.0288,-0.1201,-0.8027,0.1786,0.1786,0.1786
7.9061,-4.9515,6.1438,0.0288,-0.1201,-0.8027,0.1786,0.1786,0.1786
7.6666,-5.3417,5.8565,-0.3561,0.1696,-0.9721,0.1786,0.1786,0.1786
7.2811,-5.7272,5.5955,-0.3984,0.3297,-0.8912,0.1786,0.1786,0.1786
7.2811,-5.7272,5.5955,-0.3984,0.3297,-0.8912,0.1786,0.1786,0.1786
6.9914,-5.1885,5.7823,-0.1089,0.3334,-0.5694,0.1786,0.1786,0.1786
