AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.602,-4.2284,5.1095,0.1305,-0.3867,-0.0292,12.6833,12.6833,12.6833
7.6187,-4.2236,5.0616,0.1247,-0.3848,-0.0313,12.6833,12.6833,12.6833
7.5972,-4.2212,5.1191,0.1505,-0.3845,-0.0263,12.6833,12.6833,12.6833
7.5972,-4.2212,5.1191,0.1505,-0.3845,-0.0263,12.6833,12.6833,12.6833
7.602,-4.1613,5.2005,0.1686,-0.3765,-0.0252,12.6833,12.6833,12.6833
7.5924,-4.2667,5.0736,0.1489,-0.363,-0.034,12.6833,12.6833,12.6833
7.5924,-4.2667,5.0736,0.1489,-0.363,-0.034,12.6833,12.6833,12.6833
7.5876,-4.3768,5.0281,0.162,-0.3667,-0.0241,14.2911,14.2911,14.2911
7.5804,-4.3457,5.1071,0.1947,-0.3749,0.006999999999999999,14.2911,14.2911,14.2911
7.5804,-4.3457,5.1071,0.1947,-0.3749,0.006999999999999999,14.2911,14.2911,14.2911
7.5948,-4.2667,5.0089,0.2269,-0.3723,0.0342,14.2911,14.2911,14.2911
7.5756,-4.123,5.0951,0.2411,-0.3813,0.0443,14.2911,14.2911,14.2911
7.5756,-4.123,5.0951,0.2411,-0.3813,0.0443,14.2911,14.2911,14.2911
7.5613,-4.1087,5.064,0.2171,-0.3832,0.0254,14.2911,14.2911,14.2911
7.5325,-4.1565,5.1957,0.19899999999999998,-0.3829,0.0038,14.2911,14.2911,14.2911
7.5325,-4.1565,5.1957,0.19899999999999998,-0.3829,0.0038,14.2911,14.2911,14.2911
7.5517,-4.2068,5.222,0.1705,-0.371,-0.0119,13.3979,13.3979,13.3979
7.5637,-4.1877,5.0903,0.1188,-0.3547,-0.0247,13.3979,13.3979,13.3979
7.5637,-4.1877,5.0903,0.1188,-0.3547,-0.0247,13.3979,13.3979,13.3979
7.5565,-4.3122,5.0544,0.0661,-0.3582,-0.0351,13.3979,13.3979,13.3979
7.5493,-4.4271,5.0496,0.0834,-0.3726,-0.0185,13.3979,13.3979,13.3979
7.5493,-4.4271,5.0496,0.0834,-0.3726,-0.0185,13.3979,13.3979,13.3979
7.5421,-4.4439,5.0999,0.1422,-0.3861,0.0195,13.3979,13.3979,13.3979
7.5134,-4.4056,5.2627,0.187,-0.38799999999999996,0.0568,13.3979,13.3979,13.3979
7.5134,-4.4056,5.2627,0.187,-0.38799999999999996,0.0568,13.3979,13.3979,13.3979
7.4966,-4.4151,5.3369,0.2043,-0.3688,0.0845,15.1842,15.1842,15.1842
7.4918,-4.5468,5.2915,0.1931,-0.3363,0.1112,15.1842,15.1842,15.1842
7.4918,-4.5468,5.2915,0.1931,-0.3363,0.1112,15.1842,15.1842,15.1842
7.4631,-4.6953,5.1885,0.2142,-0.3193,0.1615,15.1842,15.1842,15.1842
7.4511,-4.8988,5.167000000000002,0.2376,-0.3172,0.2382,15.1842,15.1842,15.1842
7.4511,-4.8988,5.167000000000002,0.2376,-0.3172,0.2382,15.1842,15.1842,15.1842
7.4128,-5.1047,5.3082,0.2762,-0.3166,0.3437,15.1842,15.1842,15.1842
7.2907,-5.4854,5.4279,0.3849,-0.3057,0.4955,15.1842,15.1842,15.1842
7.2907,-5.4854,5.4279,0.3849,-0.3057,0.4955,15.1842,15.1842,15.1842
7.1878,-5.8062,5.3657,0.4901,-0.2799,0.7192,17.1493,17.1493,17.1493
7.1878,-5.8062,5.3657,0.4901,-0.2799,0.7192,17.1493,17.1493,17.1493
7.1375,-5.6961,5.234,0.6206,-0.2583,0.9783,17.1493,17.1493,17.1493
6.9483,-5.3298,5.3298,0.779,-0.217,1.1218,17.1493,17.1493,17.1493
6.9483,-5.3298,5.3298,0.779,-0.217,1.1218,17.1493,17.1493,17.1493
6.5557,-5.5405,4.1206,0.611,-0.3483,0.6963,17.1493,17.1493,17.1493
7.432,-5.7679,4.9108,0.4733,-0.7196,0.2006,17.1493,17.1493,17.1493
7.432,-5.7679,4.9108,0.4733,-0.7196,0.2006,17.1493,17.1493,17.1493
7.5014,-4.8916,5.3489,0.2064,-0.7161,-0.226,17.1493,17.1493,17.1493
8.1072,-6.4024,4.9299,-0.8085,-0.6338,-0.9587,17.1493,17.1493,17.1493
8.1072,-6.4024,4.9299,-0.8085,-0.6338,-0.9587,17.1493,17.1493,17.1493
8.5477,-5.9643,4.3457,-0.5933,-0.4999,-0.9041,12.1474,12.1474,12.1474
8.6244,-5.0017,5.0209,-0.1387,-0.4056,-0.5341,12.1474,12.1474,12.1474
8.6244,-5.0017,5.0209,-0.1387,-0.4056,-0.5341,12.1474,12.1474,12.1474
8.4998,-4.1134,4.9012,0.1425,-0.2194,-0.1498,12.1474,12.1474,12.1474
8.4998,-4.1134,4.9012,0.1425,-0.2194,-0.1498,12.1474,12.1474,12.1474
7.8366,-3.2635,5.3393,0.3007,-0.0934,0.1703,12.1474,12.1474,12.1474
7.0513,-2.8539999999999996,5.4136,0.2477,-0.0223,0.2757,12.1474,12.1474,12.1474
7.0513,-2.8539999999999996,5.4136,0.2477,-0.0223,0.2757,12.1474,12.1474,12.1474
6.5772,-2.6289999999999996,5.5907,0.2006,-0.0863,0.2803,12.1474,12.1474,12.1474
6.5221,-2.6218,5.7153,0.1833,-0.1936,0.2504,3.3941,3.3941,3.3941
6.5221,-2.6218,5.7153,0.1833,-0.1936,0.2504,3.3941,3.3941,3.3941
6.5389,-2.9091,5.981,0.027999999999999997,-0.2815,0.1839,3.3941,3.3941,3.3941
6.3474,-3.3688,6.0193,-0.2556,-0.3275,0.0824,3.3941,3.3941,3.3941
6.3474,-3.3688,6.0193,-0.2556,-0.3275,0.0824,3.3941,3.3941,3.3941
6.3162,-4.0847,5.8876,-0.3603,-0.3632,0.0608,3.3941,3.3941,3.3941
6.3162,-4.0847,5.8876,-0.3603,-0.3632,0.0608,3.3941,3.3941,3.3941
6.2755,-4.621,5.7464,-0.3038,-0.4178,0.1024,3.3941,3.3941,3.3941
6.0576,-4.9706,5.7583,-0.1936,-0.5158,0.1343,3.3941,3.3941,3.3941
6.0576,-4.9706,5.7583,-0.1936,-0.5158,0.1343,3.3941,3.3941,3.3941
6.3162,-5.0736,5.5476,-0.0447,-0.5901,0.1104,0.1786,0.1786,0.1786
6.8358,-4.9778,5.4519,-0.0508,-0.6072,-0.0191,0.1786,0.1786,0.1786
6.8358,-4.9778,5.4519,-0.0508,-0.6072,-0.0191,0.1786,0.1786,0.1786
6.9938,-5.0688,5.2891,-0.1624,-0.526,-0.1344,0.1786,0.1786,0.1786
7.1087,-5.0448,5.0089,-0.1246,-0.4767,-0.0683,0.1786,0.1786,0.1786
7.1087,-5.0448,5.0089,-0.1246,-0.4767,-0.0683,0.1786,0.1786,0.1786
6.8502,-4.6594,4.894,-0.0772,-0.4833,0.0526,0.1786,0.1786,0.1786
6.8502,-4.6594,4.894,-0.0772,-0.4833,0.0526,0.1786,0.1786,0.1786
6.7807,-5.3896,5.0568,-0.0474,-0.5278,-0.0215,0.1786,0.1786,0.1786
7.3985,-5.5285,4.5444,0.0269,-0.4692,-0.1064,0.0,0.0,0.0
