AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.1566,-4.9179,4.997,0.5137,0.0773,-0.3208,-60.3797,-60.3797,-60.3797
7.1566,-4.9179,4.997,0.5137,0.0773,-0.3208,-60.3797,-60.3797,-60.3797
7.1614,-4.8461,4.9946,0.5055,0.0954,-0.3531,-60.3797,-60.3797,-60.3797
7.1638,-5.0185,4.9491,0.4538,0.113,-0.39299999999999996,-60.3797,-60.3797,-60.3797
7.1638,-5.0185,4.9491,0.4538,0.113,-0.39299999999999996,-60.3797,-60.3797,-60.3797
7.1734,-5.1957,4.8581,0.4216,0.1215,-0.4039,-60.3797,-60.3797,-60.3797
7.1854,-5.2244,4.803,0.428,0.1127,-0.3818,-60.3797,-60.3797,-60.3797
7.1854,-5.2244,4.803,0.428,0.1127,-0.3818,-60.3797,-60.3797,-60.3797
7.1878,-5.1933,4.7791,0.4676,0.0893,-0.3464,-60.3797,-60.3797,-60.3797
7.1734,-5.0281,4.9084,0.5161,0.0645,-0.319,-60.5583,-60.5583,-60.5583
7.1734,-5.0281,4.9084,0.5161,0.0645,-0.319,-60.5583,-60.5583,-60.5583
7.1566,-5.0113,5.0017,0.4924,0.0624,-0.3259,-60.5583,-60.5583,-60.5583
7.1542,-5.1143,4.9419,0.449,0.073,-0.3357,-60.5583,-60.5583,-60.5583
7.1542,-5.1143,4.9419,0.449,0.073,-0.3357,-60.5583,-60.5583,-60.5583
7.1686,-5.1646,4.8964,0.45299999999999996,0.0722,-0.3256,-60.5583,-60.5583,-60.5583
7.159,-5.1813,4.9634,0.4764,0.0658,-0.3059,-60.5583,-60.5583,-60.5583
7.159,-5.1813,4.9634,0.4764,0.0658,-0.3059,-60.5583,-60.5583,-60.5583
7.1471,-5.1717,5.0113,0.51,0.0712,-0.2822,-60.5583,-60.5583,-60.5583
7.1399,-5.052,4.961,0.5212,0.0832,-0.267,-59.4865,-59.4865,-59.4865
7.1399,-5.052,4.961,0.5212,0.0832,-0.267,-59.4865,-59.4865,-59.4865
7.1207,-4.9898,5.0401,0.5015,0.09300000000000001,-0.2756,-59.4865,-59.4865,-59.4865
7.1064,-5.1262,5.0927,0.4519,0.1146,-0.2947,-59.4865,-59.4865,-59.4865
7.1064,-5.1262,5.0927,0.4519,0.1146,-0.2947,-59.4865,-59.4865,-59.4865
7.1207,-5.2603,5.052,0.4266,0.1359,-0.2875,-59.4865,-59.4865,-59.4865
7.0848,-5.3202,5.0233,0.4037,0.1537,-0.2612,-59.4865,-59.4865,-59.4865
7.0848,-5.3202,5.0233,0.4037,0.1537,-0.2612,-59.4865,-59.4865,-59.4865
7.0633,-5.5261,5.0664,0.3976,0.1689,-0.2212,-59.4865,-59.4865,-59.4865
7.0202,-5.4064,5.2723,0.4466,0.1873,-0.1525,-59.4865,-59.4865,-59.4865
7.0202,-5.4064,5.2723,0.4466,0.1873,-0.1525,-59.4865,-59.4865,-59.4865
6.9818,-5.4638,5.3346,0.4511,0.2296,-0.1067,-59.4865,-59.4865,-59.4865
6.9699,-5.6602,5.2508,0.4029,0.2834,-0.0673,-59.4865,-59.4865,-59.4865
6.9699,-5.6602,5.2508,0.4029,0.2834,-0.0673,-59.4865,-59.4865,-59.4865
6.9364,-5.9906,5.0113,0.3893,0.3165,0.0067,-59.4865,-59.4865,-59.4865
6.8645,-5.7272,5.2124,0.4453,0.3215,0.1226,-59.4865,-59.4865,-59.4865
