AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
6.3569,-5.8062,4.9132,-0.2816,-0.3664,0.5518,-1.6077,-1.6077,-1.6077
6.3569,-5.8062,4.9132,-0.2816,-0.3664,0.5518,-1.6077,-1.6077,-1.6077
6.3569,-5.8278,4.9586,-0.3428,-0.36,0.5121,-1.6077,-1.6077,-1.6077
6.3857,-5.9762,4.8389,-0.3783,-0.35100000000000003,0.4807,-1.6077,-1.6077,-1.6077
6.3857,-5.9762,4.8389,-0.3783,-0.35100000000000003,0.4807,-1.6077,-1.6077,-1.6077
6.3737,-6.0098,4.9539,-0.3314,-0.3592,0.4855,-1.6077,-1.6077,-1.6077
6.3569,-5.9978,5.0305,-0.2997,-0.3523,0.4996,-0.5359,-0.5359,-0.5359
6.3569,-5.9978,5.0305,-0.2997,-0.3523,0.4996,-0.5359,-0.5359,-0.5359
6.3737,-6.1582,4.8916,-0.35,-0.3291,0.5046,-0.5359,-0.5359,-0.5359
6.3928,-6.1462,4.791,-0.3397,-0.3368,0.5395,-0.5359,-0.5359,-0.5359
6.3928,-6.1462,4.791,-0.3397,-0.3368,0.5395,-0.5359,-0.5359,-0.5359
6.3617,-5.968999999999999,5.0305,-0.2752,-0.359,0.5805,-0.5359,-0.5359,-0.5359
6.345,-5.8469,4.9826,-0.2725,-0.3456,0.5827,-0.5359,-0.5359,-0.5359
6.345,-5.8469,4.9826,-0.2725,-0.3456,0.5827,-0.5359,-0.5359,-0.5359
6.3234,-5.8278,5.0089,-0.2819,-0.3363,0.5635,-0.5359,-0.5359,-0.5359
6.3282,-5.8206,5.0185,-0.2946,-0.3305,0.5395,0.3573,0.3573,0.3573
6.3282,-5.8206,5.0185,-0.2946,-0.3305,0.5395,0.3573,0.3573,0.3573
6.3402,-5.9355,4.9299,-0.3237,-0.3262,0.5153,0.3573,0.3573,0.3573
6.3593,-5.9595,4.8868,-0.3594,-0.3371,0.5081,0.3573,0.3573,0.3573
6.3593,-5.9595,4.8868,-0.3594,-0.3371,0.5081,0.3573,0.3573,0.3573
6.3234,-5.981,5.0592,-0.3591,-0.3528,0.5126,0.3573,0.3573,0.3573
6.3138,-6.0433,5.0736,-0.3514,-0.3478,0.5206,0.3573,0.3573,0.3573
6.3138,-6.0433,5.0736,-0.3514,-0.3478,0.5206,0.3573,0.3573,0.3573
6.3282,-6.0457,4.9634,-0.3415,-0.33899999999999997,0.5398,0.3573,0.3573,0.3573
6.2971,-5.8374,5.1071,-0.3138,-0.3406,0.5587,0.3573,0.3573,0.3573
6.2971,-5.8374,5.1071,-0.3138,-0.3406,0.5587,0.3573,0.3573,0.3573
6.3114,-5.7895,5.0329,-0.3586,-0.3233,0.5337,0.3573,0.3573,0.3573
6.3186,-6.1367,4.8701,-0.4033,-0.3217,0.5052,0.3573,0.3573,0.3573
6.3186,-6.1367,4.8701,-0.4033,-0.3217,0.5052,0.3573,0.3573,0.3573
6.3138,-6.1917,4.8677,-0.35700000000000004,-0.3472,0.5449,0.3573,0.3573,0.3573
6.2779,-5.811,5.1837,-0.2765,-0.3693,0.5952,0.3573,0.3573,0.3573
6.2779,-5.811,5.1837,-0.2765,-0.3693,0.5952,0.3573,0.3573,0.3573
6.2564,-5.653,5.2651,-0.3008,-0.3494,0.5656,0.3573,0.3573,0.3573
6.2731,-6.1438,5.1622,-0.3836,-0.3145,0.5118,0.3573,0.3573,0.3573
6.2731,-6.1438,5.1622,-0.3836,-0.3145,0.5118,0.3573,0.3573,0.3573
6.2659,-6.138999999999999,5.0185,-0.3266,-0.3009,0.5497,0.5359,0.5359,0.5359
6.2396,-6.175,5.1119,-0.2416,-0.3049,0.596,0.5359,0.5359,0.5359
