AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.7727,-7.2261,3.5987,0.0728,-0.0025,0.0515,-1.4291,-1.4291,-1.4291
5.7583,-7.2835,3.613,0.0798,-0.0049,0.0664,-1.4291,-1.4291,-1.4291
5.7583,-7.2356,3.6154,0.1008,-0.0073,0.0914,-1.4291,-1.4291,-1.4291
5.7583,-7.2356,3.6154,0.1008,-0.0073,0.0914,-1.4291,-1.4291,-1.4291
5.7416,-7.1064,3.6082,0.1088,-0.0083,0.10099999999999999,-1.4291,-1.4291,-1.4291
5.732,-7.0824,3.6178,0.1077,-0.0086,0.092,0.1786,0.1786,0.1786
5.732,-7.0824,3.6178,0.1077,-0.0086,0.092,0.1786,0.1786,0.1786
5.7081,-7.0896,3.6537,0.0997,-0.0089,0.076,0.1786,0.1786,0.1786
5.72,-7.1016,3.6992,0.0723,-0.0067,0.0563,0.1786,0.1786,0.1786
5.72,-7.1016,3.6992,0.0723,-0.0067,0.0563,0.1786,0.1786,0.1786
5.7129,-7.2428,3.7304,0.0422,0.0036,0.0408,0.1786,0.1786,0.1786
5.7272,-7.3889,3.6442,0.0278,0.0156,0.0515,0.1786,0.1786,0.1786
5.7272,-7.3889,3.6442,0.0278,0.0156,0.0515,0.1786,0.1786,0.1786
5.7416,-7.3673,3.5077,0.0686,0.0108,0.0928,0.1786,0.1786,0.1786
5.7224,-7.1997,3.5819,0.1314,-0.011000000000000001,0.1373,-0.7146,-0.7146,-0.7146
5.7224,-7.1997,3.5819,0.1314,-0.011000000000000001,0.1373,-0.7146,-0.7146,-0.7146
5.6769,-7.0417,3.6873,0.145,-0.0222,0.1415,-0.7146,-0.7146,-0.7146
5.6602,-7.0369,3.7184,0.0989,-0.0142,0.1093,-0.7146,-0.7146,-0.7146
5.6602,-7.0369,3.7184,0.0989,-0.0142,0.1093,-0.7146,-0.7146,-0.7146
5.6674,-7.1686,3.7039999999999997,0.0475,-0.0014,0.0736,-0.7146,-0.7146,-0.7146
5.6841,-7.2524,3.6753,0.0393,0.0074,0.0635,-0.7146,-0.7146,-0.7146
5.6841,-7.2524,3.6753,0.0393,0.0074,0.0635,-0.7146,-0.7146,-0.7146
5.6698,-7.2404,3.6657,0.0718,0.009000000000000001,0.0757,-0.7146,-0.7146,-0.7146
5.6506,-7.1949,3.6513,0.0827,0.0052,0.0837,-0.8932,-0.8932,-0.8932
5.6506,-7.1949,3.6513,0.0827,0.0052,0.0837,-0.8932,-0.8932,-0.8932
5.653,-7.2548,3.6729,0.0694,0.006,0.0835,-0.8932,-0.8932,-0.8932
5.6362,-7.2979,3.7399,0.0736,0.0079,0.0906,-0.8932,-0.8932,-0.8932
5.6362,-7.2979,3.7399,0.0736,0.0079,0.0906,-0.8932,-0.8932,-0.8932
5.6362,-7.3218,3.7519,0.0888,0.0183,0.1053,-0.8932,-0.8932,-0.8932
5.6147,-7.2979,3.7232,0.1056,0.0297,0.1226,-0.8932,-0.8932,-0.8932
5.6147,-7.2979,3.7232,0.1056,0.0297,0.1226,-0.8932,-0.8932,-0.8932
5.6075,-7.2979,3.6873,0.1077,0.0361,0.1367,-0.8932,-0.8932,-0.8932
5.5979,-7.2859,3.6561,0.1085,0.0348,0.1487,-0.7146,-0.7146,-0.7146
5.5979,-7.2859,3.6561,0.1085,0.0348,0.1487,-0.7146,-0.7146,-0.7146
5.5716,-7.237999999999999,3.6897,0.1099,0.0268,0.1559,-0.7146,-0.7146,-0.7146
5.5309,-7.2596,3.6849,0.1013,0.0183,0.1548,-0.7146,-0.7146,-0.7146
