AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.7943,-7.7169,2.5547,-0.025,0.0903,-0.0029,4.8232,4.8232,4.8232
5.8038,-7.6858,2.4877,0.0101,0.0713,0.0238,4.8232,4.8232,4.8232
5.8038,-7.6858,2.4877,0.0101,0.0713,0.0238,4.8232,4.8232,4.8232
5.7895,-7.7193,2.6984,0.0578,0.0455,0.0507,4.8232,4.8232,4.8232
5.7583,-7.5732,2.787,0.0951,0.049,0.0714,4.8232,4.8232,4.8232
5.7583,-7.5732,2.787,0.0951,0.049,0.0714,4.8232,4.8232,4.8232
5.7919,-7.6355,2.6194,0.0647,0.0639,0.0674,4.8232,4.8232,4.8232
5.7967,-7.5445,2.4781,0.0386,0.0559,0.0669,6.0737,6.0737,6.0737
5.7967,-7.5445,2.4781,0.0386,0.0559,0.0669,6.0737,6.0737,6.0737
5.7775,-7.4847,2.5907,0.065,0.0245,0.0621,6.0737,6.0737,6.0737
5.7368,-7.4272,2.8061,0.0773,0.0117,0.0416,6.0737,6.0737,6.0737
5.7368,-7.4272,2.8061,0.0773,0.0117,0.0416,6.0737,6.0737,6.0737
5.7368,-7.4751,2.8109,0.0147,0.033,0.0019,6.0737,6.0737,6.0737
5.7464,-7.602,2.6864,-0.0548,0.0554,-0.0284,6.0737,6.0737,6.0737
5.7464,-7.602,2.6864,-0.0548,0.0554,-0.0284,6.0737,6.0737,6.0737
5.7751,-7.7265,2.6529,-0.0751,0.057,-0.0284,6.0737,6.0737,6.0737
5.7967,-7.7528,2.5643,-0.0538,0.0498,-0.0055,4.1087,4.1087,4.1087
5.7967,-7.7528,2.5643,-0.0538,0.0498,-0.0055,4.1087,4.1087,4.1087
5.7991,-7.7479999999999976,2.5021,-0.0524,0.0354,0.0192,4.1087,4.1087,4.1087
5.8038,-7.8486,2.4662,-0.0522,0.0101,0.0496,4.1087,4.1087,4.1087
5.8038,-7.8486,2.4662,-0.0522,0.0101,0.0496,4.1087,4.1087,4.1087
5.7943,-7.8151,2.5715,0.033,-0.0133,0.1023,4.1087,4.1087,4.1087
5.7272,-7.6116,2.8253,0.1124,-0.0144,0.1425,4.1087,4.1087,4.1087
5.7272,-7.6116,2.8253,0.1124,-0.0144,0.1425,4.1087,4.1087,4.1087
5.7129,-7.5565,2.8253,0.1055,0.021,0.1391,4.1087,4.1087,4.1087
5.7105,-7.5732,2.72,0.0581,0.0524,0.1172,4.2873,4.2873,4.2873
5.7105,-7.5732,2.72,0.0581,0.0524,0.1172,4.2873,4.2873,4.2873
5.6841,-7.5325,2.708,0.04,0.0692,0.0978,4.2873,4.2873,4.2873
5.6722,-7.5804,2.7822,0.0293,0.0815,0.0778,4.2873,4.2873,4.2873
5.6722,-7.5804,2.7822,0.0293,0.0815,0.0778,4.2873,4.2873,4.2873
5.6698,-7.7121,2.8492,0.0107,0.1054,0.0648,4.2873,4.2873,4.2873
5.6698,-7.7265,2.8085,0.0176,0.1361,0.0738,4.2873,4.2873,4.2873
5.6698,-7.7265,2.8085,0.0176,0.1361,0.0738,4.2873,4.2873,4.2873
5.6722,-7.7744,2.6984,0.0365,0.155,0.0855,4.2873,4.2873,4.2873
5.6698,-7.8031,2.6098,0.0631,0.1526,0.1058,4.8232,4.8232,4.8232
5.6698,-7.8031,2.6098,0.0631,0.1526,0.1058,4.8232,4.8232,4.8232
5.641,-7.7504,2.6433,0.105,0.1369,0.1324,4.8232,4.8232,4.8232
5.6314,-7.7408,2.5093,0.0962,0.11800000000000001,0.1417,4.8232,4.8232,4.8232
5.6314,-7.7408,2.5093,0.0962,0.11800000000000001,0.1417,4.8232,4.8232,4.8232
5.5907,-7.7479999999999976,2.5116,0.0573,0.0769,0.1409,4.8232,4.8232,4.8232
5.5907,-7.7479999999999976,2.5116,0.0573,0.0769,0.1409,4.8232,4.8232,4.8232
5.4686,-7.8534,2.8492,-0.1004,0.0429,0.121,4.8232,4.8232,4.8232
4.3098,-7.8199,2.787,-0.4168,0.0652,0.0933,4.8232,4.8232,4.8232
3.9818,-8.0114,1.3145,-0.3696,-0.2653,-0.0471,4.8232,4.8232,4.8232
3.9818,-8.0114,1.3145,-0.3696,-0.2653,-0.0471,4.8232,4.8232,4.8232
5.143,-8.5046,1.7886,0.028999999999999998,-0.7162,-0.1925,4.8232,4.8232,4.8232
5.143,-8.5046,1.7886,0.028999999999999998,-0.7162,-0.1925,4.8232,4.8232,4.8232
5.8445,-8.3849,1.6401,0.2304,-0.6043,-0.1033,4.8232,4.8232,4.8232
5.1286,-8.2197,1.8532,0.008,-0.2818,-0.0982,4.8232,4.8232,4.8232
5.1286,-8.2197,1.8532,0.008,-0.2818,-0.0982,4.8232,4.8232,4.8232
5.3896,-8.2269,1.5036,0.0195,-0.1175,-0.1161,4.8232,4.8232,4.8232
5.7224,-8.0832,1.6952,0.1817,-0.057,-0.0892,4.8232,4.8232,4.8232
5.7224,-8.0832,1.6952,0.1817,-0.057,-0.0892,4.8232,4.8232,4.8232
6.1774,-7.6451,1.9202,0.3627,-0.0131,0.0067,4.8232,4.8232,4.8232
6.1774,-7.6451,1.9202,0.3627,-0.0131,0.0067,4.8232,4.8232,4.8232
6.4814,-7.2189,2.2315,0.4227,0.0666,0.129,3.93,3.93,3.93
6.685,-7.0154,2.3536,0.2485,0.2319,0.1806,3.93,3.93,3.93
6.685,-7.0154,2.3536,0.2485,0.2319,0.1806,3.93,3.93,3.93
6.5317,-6.9244,2.4566,0.0099,0.473,0.1577,3.93,3.93,3.93
5.9882,-7.0656,2.4901,-0.2048,0.6623,0.0515,3.93,3.93,3.93
