AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.5014,-4.6713,4.7144,-0.0398,0.2703,-0.0641,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4847,-4.6354,4.7743,-0.0299,0.254,-0.0572,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4847,-4.6354,4.7743,-0.0299,0.254,-0.0572,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.5038,-4.8533,4.6905,-0.0254,0.2396,-0.0479,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4966,-4.7072,4.7815,0.0127,0.2242,-0.0186,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4966,-4.7072,4.7815,0.0127,0.2242,-0.0186,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4918,-4.6402,4.8126,0.0039,0.2244,-0.0154,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.499,-4.7360000000000015,4.7791,-0.0278,0.2295,-0.0274,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.499,-4.7360000000000015,4.7791,-0.0278,0.2295,-0.0274,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.5038,-4.803,4.6905,-0.0243,0.2319,-0.025,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.5038,-4.7264,4.7264,0.0097,0.2234,-0.0122,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.5038,-4.7264,4.7264,0.0097,0.2234,-0.0122,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4823,-4.6282,4.815,0.0159,0.222,-0.0162,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4751,-4.7815,4.7072,-0.0137,0.2319,-0.033,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4751,-4.7815,4.7072,-0.0137,0.2319,-0.033,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.4918,-4.8413,4.6689,-0.002,0.23399999999999999,-0.0271,-10.360999999999999,-10.360999999999999,-10.360999999999999
7.5038,-4.8246,4.6091,0.0556,0.2236,-0.0045,-10.0037,-10.0037,-10.0037
7.5038,-4.8246,4.6091,0.0556,0.2236,-0.0045,-10.0037,-10.0037,-10.0037
7.4918,-4.7479,4.6905,0.124,0.2098,0.0158,-10.0037,-10.0037,-10.0037
7.4583,-4.6091,4.8772,0.1623,0.2101,0.0171,-10.0037,-10.0037,-10.0037
7.4583,-4.6091,4.8772,0.1623,0.2101,0.0171,-10.0037,-10.0037,-10.0037
7.4463,-4.6258,4.9251,0.1062,0.2359,-0.0125,-10.0037,-10.0037,-10.0037
7.4679,-4.8222,4.7408,0.034,0.2647,-0.0425,-10.0037,-10.0037,-10.0037
7.4679,-4.8222,4.7408,0.034,0.2647,-0.0425,-10.0037,-10.0037,-10.0037
7.4871,-4.9227,4.5971,0.0465,0.2625,-0.0306,-10.0037,-10.0037,-10.0037
