AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.4918,-5.5357,3.3353,-0.0649,0.0641,-0.1073,0.5359,0.5359,0.5359
7.4918,-5.6027,3.364,-0.071,0.0628,-0.1129,0.5359,0.5359,0.5359
7.4918,-5.6027,3.364,-0.071,0.0628,-0.1129,0.5359,0.5359,0.5359
7.5038,-5.6314,3.3089999999999997,-0.0603,0.062,-0.1065,0.3573,0.3573,0.3573
7.5062,-5.5884,3.3257,-0.0425,0.0598,-0.0963,0.3573,0.3573,0.3573
7.5062,-5.5884,3.3257,-0.0425,0.0598,-0.0963,0.3573,0.3573,0.3573
7.5062,-5.6003,3.3449,-0.0419,0.0582,-0.0929,0.3573,0.3573,0.3573
7.5134,-5.5213,3.3377,-0.0435,0.0569,-0.0908,0.3573,0.3573,0.3573
7.5134,-5.5213,3.3377,-0.0435,0.0569,-0.0908,0.3573,0.3573,0.3573
7.4942,-5.574,3.3760000000000003,-0.0526,0.0614,-0.0985,0.3573,0.3573,0.3573
7.5038,-5.5764,3.3401,-0.0545,0.0636,-0.099,0.3573,0.3573,0.3573
7.5038,-5.5764,3.3401,-0.0545,0.0636,-0.099,0.3573,0.3573,0.3573
7.5062,-5.5261,3.2922,-0.0593,0.0588,-0.0971,-0.3573,-0.3573,-0.3573
7.5086,-5.5884,3.3137,-0.0633,0.0529,-0.099,-0.3573,-0.3573,-0.3573
7.5086,-5.5884,3.3137,-0.0633,0.0529,-0.099,-0.3573,-0.3573,-0.3573
7.499,-5.5453,3.3952,-0.0523,0.051,-0.0955,-0.3573,-0.3573,-0.3573
7.4966,-5.562,3.3784,-0.0451,0.0604,-0.0969,-0.3573,-0.3573,-0.3573
7.4966,-5.562,3.3784,-0.0451,0.0604,-0.0969,-0.3573,-0.3573,-0.3573
7.5182,-5.562,3.3568,-0.0483,0.0657,-0.0987,-0.3573,-0.3573,-0.3573
7.5134,-5.5955,3.2969999999999997,-0.0547,0.0654,-0.099,-0.3573,-0.3573,-0.3573
7.5134,-5.5955,3.2969999999999997,-0.0547,0.0654,-0.099,-0.3573,-0.3573,-0.3573
7.5086,-5.6314,3.2994,-0.0462,0.0577,-0.0913,-0.5359,-0.5359,-0.5359
7.4918,-5.4734,3.3784,-0.0348,0.0526,-0.0825,-0.5359,-0.5359,-0.5359
7.4918,-5.4734,3.3784,-0.0348,0.0526,-0.0825,-0.5359,-0.5359,-0.5359
7.5182,-5.5381,3.3808,-0.0569,0.057999999999999996,-0.0966,-0.5359,-0.5359,-0.5359
7.5062,-5.5764,3.3161,-0.0571,0.0633,-0.1006,-0.5359,-0.5359,-0.5359
7.5062,-5.5764,3.3161,-0.0571,0.0633,-0.1006,-0.5359,-0.5359,-0.5359
7.5182,-5.5836,3.3089999999999997,-0.0446,0.0596,-0.0942,-0.5359,-0.5359,-0.5359
7.5038,-5.586,3.364,-0.0286,0.0574,-0.0862,-0.5359,-0.5359,-0.5359
7.5038,-5.586,3.364,-0.0286,0.0574,-0.0862,-0.5359,-0.5359,-0.5359
7.5014,-5.5285,3.3784,-0.0268,0.0601,-0.08199999999999999,-0.5359,-0.5359,-0.5359
7.4942,-5.5405,3.2994,-0.0446,0.0641,-0.0873,1.6077,1.6077,1.6077
7.4942,-5.5405,3.2994,-0.0446,0.0641,-0.0873,1.6077,1.6077,1.6077
7.499,-5.5716,3.3377,-0.0529,0.0625,-0.0932,1.6077,1.6077,1.6077
7.5182,-5.586,3.388,-0.038,0.059000000000000004,-0.09,1.6077,1.6077,1.6077
7.5182,-5.586,3.388,-0.038,0.059000000000000004,-0.09,1.6077,1.6077,1.6077
7.5038,-5.5931,3.3425,-0.0206,0.0628,-0.0833,1.6077,1.6077,1.6077
7.5038,-5.5931,3.3425,-0.0206,0.0628,-0.0833,1.6077,1.6077,1.6077
7.4966,-5.5213,3.3712,-0.0329,0.0625,-0.083,1.6077,1.6077,1.6077
7.5062,-5.5405,3.3233,-0.0494,0.0641,-0.0902,1.6077,1.6077,1.6077
7.5062,-5.5405,3.3233,-0.0494,0.0641,-0.0902,1.6077,1.6077,1.6077
7.5038,-5.5955,3.3329,-0.051,0.0601,-0.0932,-0.3573,-0.3573,-0.3573
7.4918,-5.55,3.3473,-0.0318,0.057999999999999996,-0.0849,-0.3573,-0.3573,-0.3573
7.4918,-5.55,3.3473,-0.0318,0.057999999999999996,-0.0849,-0.3573,-0.3573,-0.3573
7.5038,-5.5165,3.3688,-0.0342,0.0593,-0.0881,-0.3573,-0.3573,-0.3573
7.5206,-5.5979,3.3305,-0.0513,0.0601,-0.0958,-0.3573,-0.3573,-0.3573
7.5206,-5.5979,3.3305,-0.0513,0.0601,-0.0958,-0.3573,-0.3573,-0.3573
7.5038,-5.6075,3.3281,-0.0388,0.055,-0.0865,-0.3573,-0.3573,-0.3573
7.5038,-5.6075,3.3281,-0.0388,0.055,-0.0865,-0.3573,-0.3573,-0.3573
7.4871,-5.4926,3.4406,-0.0262,0.0478,-0.0769,-0.3573,-0.3573,-0.3573
7.4847,-5.5165,3.388,-0.0417,0.0609,-0.09,-1.4291,-1.4291,-1.4291
7.4847,-5.5165,3.388,-0.0417,0.0609,-0.09,-1.4291,-1.4291,-1.4291
7.5182,-5.5979,3.273,-0.0467,0.071,-0.0966,-1.4291,-1.4291,-1.4291
7.4966,-5.5931,3.2802,-0.0385,0.062,-0.0857,-1.4291,-1.4291,-1.4291
7.4966,-5.5931,3.2802,-0.0385,0.062,-0.0857,-1.4291,-1.4291,-1.4291
7.4942,-5.5045,3.3425,-0.0289,0.0529,-0.0766,-1.4291,-1.4291,-1.4291
7.4942,-5.5764,3.3808,-0.0403,0.0561,-0.0852,-1.4291,-1.4291,-1.4291
7.4942,-5.5764,3.3808,-0.0403,0.0561,-0.0852,-1.4291,-1.4291,-1.4291
7.4894,-5.5955,3.3377,-0.0377,0.0582,-0.0836,-1.4291,-1.4291,-1.4291
7.4894,-5.5955,3.3377,-0.0377,0.0582,-0.0836,-1.4291,-1.4291,-1.4291
7.4966,-5.5429,3.3161,-0.0212,0.0574,-0.0732,-0.8932,-0.8932,-0.8932
7.4918,-5.5357,3.4023,-0.0249,0.055,-0.0758,-0.8932,-0.8932,-0.8932
7.4918,-5.5357,3.4023,-0.0249,0.055,-0.0758,-0.8932,-0.8932,-0.8932
7.4942,-5.5213,3.3832,-0.0459,0.062,-0.0873,-0.8932,-0.8932,-0.8932
7.499,-5.5884,3.3377,-0.0643,0.0662,-0.0955,-0.8932,-0.8932,-0.8932
7.499,-5.5884,3.3377,-0.0643,0.0662,-0.0955,-0.8932,-0.8932,-0.8932
7.5014,-5.6458,3.3042,-0.0489,0.0622,-0.0894,-0.8932,-0.8932,-0.8932
7.4727,-5.5476,3.4095,-0.0236,0.0556,-0.0734,-0.8932,-0.8932,-0.8932
7.4727,-5.5476,3.4095,-0.0236,0.0556,-0.0734,-0.8932,-0.8932,-0.8932
