AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.6139,-5.2388,3.6537,1.1263,-0.5301,-0.2811,17.5065,17.5065,17.5065
7.6139,-5.2388,3.6537,1.1263,-0.5301,-0.2811,17.5065,17.5065,17.5065
7.59,-5.3681,3.7735,1.0912,-0.5309,-0.3085,17.5065,17.5065,17.5065
7.602,-5.5213,3.6298,1.068,-0.5279,-0.3144,17.5065,17.5065,17.5065
7.602,-5.5213,3.6298,1.068,-0.5279,-0.3144,17.5065,17.5065,17.5065
7.5852,-5.5357,3.6274,1.1133,-0.542,-0.2891,17.5065,17.5065,17.5065
7.6139,-5.3944,3.7926,1.1674,-0.5538,-0.2638,17.5065,17.5065,17.5065
7.6139,-5.3944,3.7926,1.1674,-0.5538,-0.2638,17.5065,17.5065,17.5065
7.602,-5.2819,3.8022,1.157,-0.5428,-0.271,17.5065,17.5065,17.5065
7.602,-5.3585,3.7112,1.1149,-0.5229,-0.2936,17.5065,17.5065,17.5065
7.602,-5.3585,3.7112,1.1149,-0.5229,-0.2936,17.5065,17.5065,17.5065
7.6139,-5.4447,3.6418,1.0959999999999999,-0.5207,-0.3029,17.5065,17.5065,17.5065
7.6092,-5.5213,3.6011,1.0965,-0.5325,-0.2968,17.5065,17.5065,17.5065
7.6092,-5.5213,3.6011,1.0965,-0.5325,-0.2968,17.5065,17.5065,17.5065
7.6068,-5.5069,3.6537,1.1229,-0.5458,-0.2755,17.5065,17.5065,17.5065
7.59,-5.4878,3.7016,1.1466,-0.5543,-0.2576,17.5065,17.5065,17.5065
7.59,-5.4878,3.7016,1.1466,-0.5543,-0.2576,17.5065,17.5065,17.5065
7.5924,-5.4519,3.7471,1.17,-0.5532,-0.2446,17.5065,17.5065,17.5065
7.6092,-5.4016,3.7088,1.1740000000000002,-0.5455,-0.2409,18.5784,18.5784,18.5784
7.6092,-5.4016,3.7088,1.1740000000000002,-0.5455,-0.2409,18.5784,18.5784,18.5784
7.5876,-5.4423,3.8118,1.1495,-0.5399,-0.2457,18.5784,18.5784,18.5784
7.5876,-5.4423,3.8118,1.1495,-0.5399,-0.2457,18.5784,18.5784,18.5784
7.5876,-5.5381,3.7615,1.1423,-0.5266,-0.2425,18.5784,18.5784,18.5784
7.5661,-5.5141,3.8405,1.125,-0.5112,-0.235,18.5784,18.5784,18.5784
7.5756,-5.641,3.6178,1.0829,-0.4914,-0.2254,18.5784,18.5784,18.5784
7.5756,-5.641,3.6178,1.0829,-0.4914,-0.2254,18.5784,18.5784,18.5784
7.5709,-5.6961,3.5508,1.1114,-0.5,-0.1852,18.5784,18.5784,18.5784
7.5709,-5.6961,3.5508,1.1114,-0.5,-0.1852,18.5784,18.5784,18.5784
7.5349,-5.7871,3.7112,1.1626,-0.5189,-0.1314,18.0425,18.0425,18.0425
7.4966,-5.8829,3.9099,1.1748,-0.5146,-0.0728,18.0425,18.0425,18.0425
7.4966,-5.8829,3.9099,1.1748,-0.5146,-0.0728,18.0425,18.0425,18.0425
7.4823,-5.992999999999999,3.8932,1.146,-0.4805,-0.0086,18.0425,18.0425,18.0425
7.432,-6.2444,3.8932,1.1346,-0.4494,0.0758,18.0425,18.0425,18.0425
7.432,-6.2444,3.8932,1.1346,-0.4494,0.0758,18.0425,18.0425,18.0425
7.3913,-6.6419,3.8573,1.1607,-0.4219,0.1986,18.0425,18.0425,18.0425
7.3242,-7.0369,3.7375,1.2017,-0.4049,0.381,18.0425,18.0425,18.0425
7.3242,-7.0369,3.7375,1.2017,-0.4049,0.381,18.0425,18.0425,18.0425
7.1471,-7.2237,3.5197,1.2885,-0.4193,0.6311,16.9706,16.9706,16.9706
7.001,-6.8621,3.5651,1.5085,-0.4635,0.9126,16.9706,16.9706,16.9706
7.001,-6.8621,3.5651,1.5085,-0.4635,0.9126,16.9706,16.9706,16.9706
6.6802,-6.4958,3.7039999999999997,1.8182,-0.4638,1.083,16.9706,16.9706,16.9706
6.0624,-6.1055,3.5005,1.7349,-0.4518,0.76,16.9706,16.9706,16.9706
6.0624,-6.1055,3.5005,1.7349,-0.4518,0.76,16.9706,16.9706,16.9706
6.4479,-7.1111,3.5005,1.2678,-0.5466,0.0667,16.9706,16.9706,16.9706
7.0106,-6.6610000000000005,3.5388,1.3277,-0.5247,-0.313,16.9706,16.9706,16.9706
7.0106,-6.6610000000000005,3.5388,1.3277,-0.5247,-0.313,16.9706,16.9706,16.9706
7.7744,-6.91,3.3688,0.9514,-0.4243,-0.7985,14.2911,14.2911,14.2911
8.2652,-6.8166,3.3042,0.8877,-0.3665,-0.8931,14.2911,14.2911,14.2911
8.2652,-6.8166,3.3042,0.8877,-0.3665,-0.8931,14.2911,14.2911,14.2911
8.2484,-6.1678,3.5149,1.1263,-0.2771,-0.6923,14.2911,14.2911,14.2911
7.8199,-5.6267,3.8836,1.1881,-0.1809,-0.5383,14.2911,14.2911,14.2911
7.1255,-5.2699,4.1829,1.2307,-0.1458,-0.3956,14.2911,14.2911,14.2911
6.7137,-5.1957,4.4343,1.1713,-0.2073,-0.3857,14.2911,14.2911,14.2911
6.7137,-5.1957,4.4343,1.1713,-0.2073,-0.3857,14.2911,14.2911,14.2911
6.649,-5.0688,4.6809,1.1061,-0.2914,-0.439,14.2911,14.2911,14.2911
6.5892,-5.0664,4.9179,1.0182,-0.3386,-0.4563,12.325999999999999,12.325999999999999,12.325999999999999
6.5892,-5.0664,4.9179,1.0182,-0.3386,-0.4563,12.325999999999999,12.325999999999999,12.325999999999999
6.4814,-5.1406,4.9874,0.9389,-0.3705,-0.4068,12.325999999999999,12.325999999999999,12.325999999999999
6.4335,-5.4519,4.8868,0.8499,-0.41100000000000003,-0.349,12.325999999999999,12.325999999999999,12.325999999999999
6.4335,-5.4519,4.8868,0.8499,-0.41100000000000003,-0.349,12.325999999999999,12.325999999999999,12.325999999999999
6.3402,-5.7488,4.7001,0.8076,-0.4395,-0.3168,12.325999999999999,12.325999999999999,12.325999999999999
6.2899,-5.756,4.5947,0.8558,-0.4709,-0.3298,12.325999999999999,12.325999999999999,12.325999999999999
6.2899,-5.756,4.5947,0.8558,-0.4709,-0.3298,12.325999999999999,12.325999999999999,12.325999999999999
6.5437,-5.6171,4.542,0.9634,-0.5082,-0.3501,12.325999999999999,12.325999999999999,12.325999999999999
6.8693,-5.4375,4.3768,0.9484,-0.5365,-0.3724,11.9688,11.9688,11.9688
6.8693,-5.4375,4.3768,0.9484,-0.5365,-0.3724,11.9688,11.9688,11.9688
7.0369,-5.6027,4.1613,0.8851,-0.5221,-0.3706,11.9688,11.9688,11.9688
6.9723,-5.7129,3.9482,0.9801,-0.5088,-0.28,11.9688,11.9688,11.9688
6.9004,-5.5979,4.0775,1.1362,-0.5295,-0.1769,11.9688,11.9688,11.9688
6.9004,-5.5979,4.0775,1.1362,-0.5295,-0.1769,11.9688,11.9688,11.9688
6.6562,-5.5836,4.0344,1.0662,-0.5088,-0.1951,11.9688,11.9688,11.9688
6.593999999999999,-5.8733,4.0632,0.9697,-0.4986,-0.2688,11.9688,11.9688,11.9688
6.593999999999999,-5.8733,4.0632,0.9697,-0.4986,-0.2688,11.9688,11.9688,11.9688
6.4814,-6.0002,4.0225,0.9847,-0.4859,-0.2747,11.9688,11.9688,11.9688
6.4814,-6.0002,4.0225,0.9847,-0.4859,-0.2747,11.9688,11.9688,11.9688
6.3545,-6.0864,4.0081,1.0377,-0.4808,-0.2504,11.9688,11.9688,11.9688
6.309,-5.8326,4.0488,1.1136,-0.48,-0.1876,11.9688,11.9688,11.9688
6.309,-5.8326,4.0488,1.1136,-0.48,-0.1876,11.9688,11.9688,11.9688
6.2205,-5.6027,4.0464,1.161,-0.4683,-0.1357,11.9688,11.9688,11.9688
5.968999999999999,-5.2555,4.0416,1.2249,-0.4395,-0.0752,11.9688,11.9688,11.9688
5.968999999999999,-5.2555,4.0416,1.2249,-0.4395,-0.0752,11.9688,11.9688,11.9688
5.2268,-5.9355,4.3409,1.2512,-0.5876,-0.2723,11.9688,11.9688,11.9688
5.6458,-5.4064,4.1757,1.305,-0.6345,-0.3037,13.5765,13.5765,13.5765
5.6458,-5.4064,4.1757,1.305,-0.6345,-0.3037,13.5765,13.5765,13.5765
5.9236,-4.8629,4.4151,1.3082,-0.6265,-0.2102,13.5765,13.5765,13.5765
6.072,-5.2723,4.3839999999999995,1.0464,-0.5982,-0.2686,13.5765,13.5765,13.5765
6.072,-5.2723,4.3839999999999995,1.0464,-0.5982,-0.2686,13.5765,13.5765,13.5765
6.3066,-5.7224,4.3984,1.0145,-0.6201,-0.235,13.5765,13.5765,13.5765
6.7089,-6.0696,4.3864,1.0651,-0.6559999999999999,-0.1642,13.5765,13.5765,13.5765
6.7089,-6.0696,4.3864,1.0651,-0.6559999999999999,-0.1642,13.5765,13.5765,13.5765
7.0106,-6.4144,4.4127,1.1016,-0.6962,-0.1189,13.5765,13.5765,13.5765
7.2931,-6.8023,4.2284,1.1098,-0.7165,-0.1133,13.5765,13.5765,13.5765
7.2931,-6.8023,4.2284,1.1098,-0.7165,-0.1133,13.5765,13.5765,13.5765
7.4392,-7.1064,4.0249,1.0558,-0.7314,-0.1351,16.4347,16.4347,16.4347
7.4871,-7.4463,3.6322,0.9231,-0.6885,-0.2411,16.4347,16.4347,16.4347
7.4871,-7.4463,3.6322,0.9231,-0.6885,-0.2411,16.4347,16.4347,16.4347
7.3841,-7.9444,3.0552,0.8251,-0.5887,-0.382,16.4347,16.4347,16.4347
7.2165,-8.1455,2.5547,0.9346,-0.5357,-0.41,16.4347,16.4347,16.4347
7.2165,-8.1455,2.5547,0.9346,-0.5357,-0.41,16.4347,16.4347,16.4347
6.8861,-7.8797,2.866,1.2667,-0.5695,-0.2859,16.4347,16.4347,16.4347
6.7592,-7.237999999999999,3.2683,1.5,-0.5056,-0.2065,16.4347,16.4347,16.4347
6.7592,-7.237999999999999,3.2683,1.5,-0.5056,-0.2065,16.4347,16.4347,16.4347
6.8909,-7.0441,3.2946,1.4291,-0.3255,-0.3216,16.9706,16.9706,16.9706
6.989,-6.8023,3.4789999999999996,1.4153,-0.2366,-0.4137,16.9706,16.9706,16.9706
6.989,-6.8023,3.4789999999999996,1.4153,-0.2366,-0.4137,16.9706,16.9706,16.9706
7.0513,-6.5796,3.6897,1.3999,-0.2115,-0.4936,16.9706,16.9706,16.9706
7.001,-6.3066,4.0704,1.4571,-0.2704,-0.4984,16.9706,16.9706,16.9706
7.001,-6.3066,4.0704,1.4571,-0.2704,-0.4984,16.9706,16.9706,16.9706
