AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
5.2292,-7.7361,3.2635,-0.0169,-0.1291,0.4203,21.7939,21.7939,21.7939
5.2436,-7.9923,3.0288,-0.0541,-0.095,0.3899,21.7939,21.7939,21.7939
5.2436,-7.9923,3.0288,-0.0541,-0.095,0.3899,21.7939,21.7939,21.7939
5.2508,-7.9324,2.9354,-0.0288,-0.1,0.4011,21.7939,21.7939,21.7939
5.246,-7.8007,3.0911,-0.0198,-0.1152,0.4056,21.7939,21.7939,21.7939
5.246,-7.8007,3.0911,-0.0198,-0.1152,0.4056,21.7939,21.7939,21.7939
5.2579,-7.9276,3.048,-0.0576,-0.1123,0.3867,22.6871,22.6871,22.6871
5.234,-7.8677,3.1366,-0.0635,-0.1096,0.3872,22.6871,22.6871,22.6871
5.234,-7.8677,3.1366,-0.0635,-0.1096,0.3872,22.6871,22.6871,22.6871
5.2388,-7.8031,3.1006,-0.0717,-0.0998,0.3825,22.6871,22.6871,22.6871
5.2675,-7.9563,2.945,-0.0973,-0.0947,0.3641,22.6871,22.6871,22.6871
5.2675,-7.9563,2.945,-0.0973,-0.0947,0.3641,22.6871,22.6871,22.6871
5.2699,-7.9923,2.9378,-0.0794,-0.1123,0.3755,22.6871,22.6871,22.6871
5.2412,-7.7983,3.2611,-0.0547,-0.1237,0.3926,22.6871,22.6871,22.6871
5.2412,-7.7983,3.2611,-0.0547,-0.1237,0.3926,22.6871,22.6871,22.6871
5.2531,-7.7792,3.0815,-0.0853,-0.0987,0.3697,22.6871,22.6871,22.6871
5.2867,-8.1287,2.8277,-0.1258,-0.0923,0.3468,22.1511,22.1511,22.1511
5.2867,-8.1287,2.8277,-0.1258,-0.0923,0.3468,22.1511,22.1511,22.1511
5.2867,-8.0904,2.8828,-0.0832,-0.1216,0.38799999999999996,22.1511,22.1511,22.1511
5.2603,-7.9013,2.9642,-0.0126,-0.1419,0.4283,22.1511,22.1511,22.1511
5.2603,-7.9013,2.9642,-0.0126,-0.1419,0.4283,22.1511,22.1511,22.1511
5.2316,-7.8007,3.2922,0.0068,-0.1461,0.4312,22.1511,22.1511,22.1511
5.2124,-7.7385,3.2299,-0.0155,-0.1158,0.4102,22.1511,22.1511,22.1511
5.2124,-7.7385,3.2299,-0.0155,-0.1158,0.4102,22.1511,22.1511,22.1511
5.2891,-7.9635,2.9761,-0.0427,-0.0873,0.3761,22.1511,22.1511,22.1511
5.2579,-8.0904,2.9546,-0.0286,-0.0939,0.3886,23.4016,23.4016,23.4016
5.2579,-8.0904,2.9546,-0.0286,-0.0939,0.3886,23.4016,23.4016,23.4016
5.2651,-8.033,2.945,0.0002,-0.1158,0.4248,23.4016,23.4016,23.4016
5.2412,-7.7624,3.127,0.0148,-0.1331,0.4442,23.4016,23.4016,23.4016
5.2412,-7.7624,3.127,0.0148,-0.1331,0.4442,23.4016,23.4016,23.4016
5.1933,-7.6499,3.3544,-0.0193,-0.1182,0.4152,23.4016,23.4016,23.4016
5.2579,-7.8318,3.0312,-0.0797,-0.0814,0.3633,23.4016,23.4016,23.4016
5.2579,-7.8318,3.0312,-0.0797,-0.0814,0.3633,23.4016,23.4016,23.4016
5.2819,-8.2197,2.8014,-0.0973,-0.0902,0.3566,23.4016,23.4016,23.4016
5.222,-7.9108,3.0647,-0.0264,-0.1291,0.4102,24.1162,24.1162,24.1162
5.222,-7.9108,3.0647,-0.0264,-0.1291,0.4102,24.1162,24.1162,24.1162
5.2388,-7.7528,3.2778,-0.0238,-0.1288,0.4104,24.1162,24.1162,24.1162
5.2316,-7.8917,3.1294,-0.0501,-0.0958,0.3838,24.1162,24.1162,24.1162
5.2316,-7.8917,3.1294,-0.0501,-0.0958,0.3838,24.1162,24.1162,24.1162
5.2364,-7.8318,3.0312,-0.0581,-0.0819,0.375,24.1162,24.1162,24.1162
5.2843,-8.0138,2.8397,-0.1063,-0.0969,0.3588,24.1162,24.1162,24.1162
5.2843,-8.0138,2.8397,-0.1063,-0.0969,0.3588,24.1162,24.1162,24.1162
5.2484,-8.1359,2.9977,-0.1023,-0.1253,0.3801,24.1162,24.1162,24.1162
5.2268,-7.7097,3.2204,-0.0392,-0.1347,0.4203,23.0443,23.0443,23.0443
5.2268,-7.7097,3.2204,-0.0392,-0.1347,0.4203,23.0443,23.0443,23.0443
5.2603,-7.6882,3.218,-0.0552,-0.1091,0.3857,23.0443,23.0443,23.0443
5.2531,-8.0617,2.8899,-0.1007,-0.0819,0.3486,23.0443,23.0443,23.0443
5.2531,-8.0617,2.8899,-0.1007,-0.0819,0.3486,23.0443,23.0443,23.0443
5.2819,-8.021,2.866,-0.0752,-0.1043,0.3753,23.0443,23.0443,23.0443
5.2747,-7.9563,3.0408,-0.0557,-0.1355,0.4016,23.0443,23.0443,23.0443
5.2747,-7.9563,3.0408,-0.0557,-0.1355,0.4016,23.0443,23.0443,23.0443
5.2053,-7.7504,3.2467,-0.0392,-0.1357,0.41100000000000003,23.0443,23.0443,23.0443
5.2436,-7.7744,3.0743,-0.0549,-0.1072,0.3822,23.0443,23.0443,23.0443
5.2436,-7.7744,3.0743,-0.0549,-0.1072,0.3822,23.0443,23.0443,23.0443
5.2915,-7.9899,2.9330000000000003,-0.0933,-0.1014,0.3532,22.1511,22.1511,22.1511
5.2699,-8.1383,3.0168,-0.0832,-0.115,0.3686,22.1511,22.1511,22.1511
5.2699,-8.1383,3.0168,-0.0832,-0.115,0.3686,22.1511,22.1511,22.1511
5.2771,-7.9037,3.036,-0.036000000000000004,-0.1192,0.4083,22.1511,22.1511,22.1511
5.2627,-7.9156,3.0552,-0.0424,-0.1203,0.41100000000000003,22.1511,22.1511,22.1511
5.2627,-7.9156,3.0552,-0.0424,-0.1203,0.41100000000000003,22.1511,22.1511,22.1511
5.2436,-7.9132,3.0935,-0.0267,-0.1198,0.4152,22.1511,22.1511,22.1511
5.2627,-7.7792,3.1174,-0.0145,-0.1126,0.4118,22.1511,22.1511,22.1511
5.2627,-7.7792,3.1174,-0.0145,-0.1126,0.4118,22.1511,22.1511,22.1511
5.2555,-7.8582,3.0552,-0.0422,-0.0992,0.3891,22.6871,22.6871,22.6871
5.2484,-7.9324,3.0839,-0.0592,-0.0953,0.3811,22.6871,22.6871,22.6871
5.2484,-7.9324,3.0839,-0.0592,-0.0953,0.3811,22.6871,22.6871,22.6871
5.2795,-8.0114,2.9330000000000003,-0.0672,-0.0977,0.3846,22.6871,22.6871,22.6871
5.2603,-7.9348,2.9474,-0.0619,-0.1155,0.4022,22.6871,22.6871,22.6871
5.2603,-7.9348,2.9474,-0.0619,-0.1155,0.4022,22.6871,22.6871,22.6871
5.2124,-7.7744,3.2132,-0.0454,-0.1269,0.41100000000000003,22.6871,22.6871,22.6871
5.246,-7.6906,3.1629,-0.0667,-0.1022,0.3819,22.6871,22.6871,22.6871
5.246,-7.6906,3.1629,-0.0667,-0.1022,0.3819,22.6871,22.6871,22.6871
5.2723,-8.0521,2.9474,-0.11699999999999999,-0.0801,0.3436,23.4016,23.4016,23.4016
5.2651,-8.1407,2.8588,-0.076,-0.0926,0.3747,23.4016,23.4016,23.4016
5.2651,-8.1407,2.8588,-0.076,-0.0926,0.3747,23.4016,23.4016,23.4016
5.2819,-7.9803,3.0073,-0.0294,-0.1206,0.4192,23.4016,23.4016,23.4016
5.2172,-7.7385,3.2084,-0.0105,-0.1222,0.4325,23.4016,23.4016,23.4016
5.2172,-7.7385,3.2084,-0.0105,-0.1222,0.4325,23.4016,23.4016,23.4016
5.222,-7.5637,3.2395,-0.0446,-0.0926,0.3955,23.4016,23.4016,23.4016
5.2843,-7.9731,2.8539999999999996,-0.1348,-0.0678,0.3289,23.4016,23.4016,23.4016
5.2843,-7.9731,2.8539999999999996,-0.1348,-0.0678,0.3289,23.4016,23.4016,23.4016
5.2843,-8.2484,2.7607,-0.1215,-0.0971,0.3441,23.7589,23.7589,23.7589
5.2579,-7.942,2.9953,-0.0664,-0.1349,0.4038,23.7589,23.7589,23.7589
5.2579,-7.942,2.9953,-0.0664,-0.1349,0.4038,23.7589,23.7589,23.7589
5.2508,-7.8199,3.2611,-0.0464,-0.1392,0.4192,23.7589,23.7589,23.7589
5.2029,-7.7025,3.2228,-0.035,-0.1128,0.4064,23.7589,23.7589,23.7589
5.2029,-7.7025,3.2228,-0.035,-0.1128,0.4064,23.7589,23.7589,23.7589
5.2627,-7.6499,3.0887,-0.0933,-0.0793,0.3585,23.7589,23.7589,23.7589
5.2795,-7.9994,2.8469,-0.1719,-0.0684,0.3092,23.7589,23.7589,23.7589
5.2795,-7.9994,2.8469,-0.1719,-0.0684,0.3092,23.7589,23.7589,23.7589
5.2795,-8.033,2.9642,-0.1402,-0.0913,0.3273,23.7589,23.7589,23.7589
5.2915,-7.8941,3.048,-0.1058,-0.099,0.35,22.8657,22.8657,22.8657
5.2915,-7.8941,3.048,-0.1058,-0.099,0.35,22.8657,22.8657,22.8657
5.2771,-8.0306,2.9378,-0.1058,-0.0881,0.3532,22.8657,22.8657,22.8657
5.2962,-7.9539,2.8373,-0.0557,-0.0974,0.3769,22.8657,22.8657,22.8657
5.2962,-7.9539,2.8373,-0.0557,-0.0974,0.3769,22.8657,22.8657,22.8657
5.3106,-7.8821,2.9833,-0.0483,-0.1158,0.3857,22.8657,22.8657,22.8657
5.2795,-7.9659,3.0552,-0.0496,-0.1152,0.3862,22.8657,22.8657,22.8657
5.2795,-7.9659,3.0552,-0.0496,-0.1152,0.3862,22.8657,22.8657,22.8657
5.2891,-7.7696,3.0719,-0.0262,-0.1051,0.3899,22.8657,22.8657,22.8657
5.301,-7.8677,2.957,-0.0667,-0.0881,0.3659,23.7589,23.7589,23.7589
5.301,-7.8677,2.957,-0.0667,-0.0881,0.3659,23.7589,23.7589,23.7589
5.3058,-8.1024,2.8899,-0.08800000000000001,-0.0889,0.3622,23.7589,23.7589,23.7589
5.3058,-7.8821,2.8971,-0.0587,-0.1096,0.3942,23.7589,23.7589,23.7589
5.3058,-7.8821,2.8971,-0.0587,-0.1096,0.3942,23.7589,23.7589,23.7589
5.2843,-7.8558,3.0815,-0.0584,-0.1184,0.3955,23.7589,23.7589,23.7589
5.2747,-7.7911,3.0863,-0.0696,-0.1008,0.3803,23.7589,23.7589,23.7589
5.2747,-7.7911,3.0863,-0.0696,-0.1008,0.3803,23.7589,23.7589,23.7589
5.3034,-7.9348,2.9307,-0.1042,-0.0862,0.3566,23.7589,23.7589,23.7589
5.3226,-8.0425,2.8899,-0.1053,-0.0907,0.3614,22.8657,22.8657,22.8657
