AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.5972,-0.1341,6.5102,0.0045,-0.0484,0.0842,-27.5103,-27.5103,-27.5103
7.6187,-0.3041,6.5197,-0.0122,-0.0492,0.0738,-27.5103,-27.5103,-27.5103
7.6187,-0.3041,6.5197,-0.0122,-0.0492,0.0738,-27.5103,-27.5103,-27.5103
7.5948,-0.3591,6.5628,0.0128,-0.0428,0.0863,-27.5103,-27.5103,-27.5103
7.602,-0.158,6.5102,0.0557,-0.0359,0.1028,-27.5103,-27.5103,-27.5103
7.602,-0.158,6.5102,0.0557,-0.0359,0.1028,-27.5103,-27.5103,-27.5103
7.6044,-0.1077,6.5509,0.0349,-0.0378,0.0882,-27.5103,-27.5103,-27.5103
7.6139,-0.2466,6.5197,0.0091,-0.0354,0.0642,-27.3316,-27.3316,-27.3316
7.6139,-0.2466,6.5197,0.0091,-0.0354,0.0642,-27.3316,-27.3316,-27.3316
7.5972,-0.3448,6.593999999999999,0.0269,-0.0287,0.0676,-27.3316,-27.3316,-27.3316
7.6116,-0.3113,6.4599,0.0788,-0.0175,0.0911,-27.3316,-27.3316,-27.3316
7.6116,-0.3113,6.4599,0.0788,-0.0175,0.0911,-27.3316,-27.3316,-27.3316
7.6068,-0.1341,6.4407,0.0764,-0.0247,0.0999,-27.3316,-27.3316,-27.3316
7.6379,-0.2562,6.3641,0.0029,-0.0405,0.078,-27.3316,-27.3316,-27.3316
7.6379,-0.2562,6.3641,0.0029,-0.0405,0.078,-27.3316,-27.3316,-27.3316
7.5924,-0.2394,6.6299,-0.062,-0.0599,0.0716,-27.3316,-27.3316,-27.3316
7.5948,-0.1676,6.5557,-0.0162,-0.0452,0.0786,-27.5103,-27.5103,-27.5103
7.5948,-0.1676,6.5557,-0.0162,-0.0452,0.0786,-27.5103,-27.5103,-27.5103
7.6235,-0.2538,6.5006,0.0051,-0.0311,0.0698,-27.5103,-27.5103,-27.5103
7.6187,-0.2322,6.502999999999999,0.0274,-0.0287,0.0684,-27.5103,-27.5103,-27.5103
7.6187,-0.2322,6.502999999999999,0.0274,-0.0287,0.0684,-27.5103,-27.5103,-27.5103
7.6211,-0.2107,6.5317,0.044000000000000004,-0.0269,0.0687,-27.5103,-27.5103,-27.5103
7.6211,-0.2107,6.5317,0.044000000000000004,-0.0269,0.0687,-27.5103,-27.5103,-27.5103
7.5996,-0.2921,6.5676,0.0482,-0.0218,0.065,-27.5103,-27.5103,-27.5103
7.5924,-0.1772,6.4695,0.0408,-0.0202,0.0684,-27.5103,-27.5103,-27.5103
7.5924,-0.1772,6.4695,0.0408,-0.0202,0.0684,-27.5103,-27.5103,-27.5103
7.602,-0.2921,6.4288,-0.0245,-0.0298,0.0535,-27.5103,-27.5103,-27.5103
7.6259,-0.3807,6.5317,-0.0269,-0.0391,0.0621,-26.7957,-26.7957,-26.7957
7.6259,-0.3807,6.5317,-0.0269,-0.0391,0.0621,-26.7957,-26.7957,-26.7957
7.5876,-0.2275,6.7879,0.086,-0.0266,0.0913,-26.7957,-26.7957,-26.7957
7.5709,-0.0934,6.6562,0.1936,0.0155,0.102,-26.7957,-26.7957,-26.7957
7.5709,-0.0934,6.6562,0.1936,0.0155,0.102,-26.7957,-26.7957,-26.7957
7.5804,-0.0287,6.4647,0.1723,0.0354,0.0812,-26.7957,-26.7957,-26.7957
7.5756,-0.10300000000000001,6.4599,0.0557,0.0221,0.0402,-26.7957,-26.7957,-26.7957
7.5756,-0.10300000000000001,6.4599,0.0557,0.0221,0.0402,-26.7957,-26.7957,-26.7957
7.5756,-0.2562,6.5341,-0.0405,0.0115,0.0178,-26.7957,-26.7957,-26.7957
7.5421,-0.32799999999999996,6.6155,-0.054000000000000006,0.0173,0.0349,-27.6889,-27.6889,-27.6889
7.5421,-0.32799999999999996,6.6155,-0.054000000000000006,0.0173,0.0349,-27.6889,-27.6889,-27.6889
7.5086,-0.2658,6.8502,-0.0495,0.0344,0.0618,-27.6889,-27.6889,-27.6889
7.4751,-0.5794,7.1638,-0.1015,0.0892,0.0807,-27.6889,-27.6889,-27.6889
7.4751,-0.5794,7.1638,-0.1015,0.0892,0.0807,-27.6889,-27.6889,-27.6889
6.8813,-0.1604,7.8989,-0.0072,0.2027,0.1406,-27.6889,-27.6889,-27.6889
7.3841,-1.1253,7.4583,0.1417,0.4554,0.0897,-27.6889,-27.6889,-27.6889
7.3841,-1.1253,7.4583,0.1417,0.4554,0.0897,-27.6889,-27.6889,-27.6889
7.4847,-1.1684,6.6131,0.19899999999999998,0.5423,0.0999,-27.6889,-27.6889,-27.6889
7.1782,-1.4917,6.175,0.2024,0.1582,0.1422,-25.7239,-25.7239,-25.7239
7.1782,-1.4917,6.175,0.2024,0.1582,0.1422,-25.7239,-25.7239,-25.7239
7.2979,-1.4222,7.3123,0.3803,-0.3153,0.078,-25.7239,-25.7239,-25.7239
8.0138,-1.4845,7.2021,0.6187,-0.4256,-0.1177,-25.7239,-25.7239,-25.7239
8.0138,-1.4845,7.2021,0.6187,-0.4256,-0.1177,-25.7239,-25.7239,-25.7239
8.1215,-0.7709999999999999,6.1319,0.5974,-0.3683,-0.3273,-25.7239,-25.7239,-25.7239
8.4304,-1.1421,6.9244,0.2211,-0.5078,-0.4788,-25.7239,-25.7239,-25.7239
8.4304,-1.1421,6.9244,0.2211,-0.5078,-0.4788,-25.7239,-25.7239,-25.7239
8.3562,-0.34,7.3985,0.3942,-0.3254,-0.4269,-25.7239,-25.7239,-25.7239
8.1718,0.1125,6.4239999999999995,0.6008,0.0783,-0.3779,-21.6152,-21.6152,-21.6152
8.1718,0.1125,6.4239999999999995,0.6008,0.0783,-0.3779,-21.6152,-21.6152,-21.6152
7.681,0.6704,5.9667,0.4746,0.1857,-0.35100000000000003,-21.6152,-21.6152,-21.6152
7.3745,1.3336,6.0888,0.2975,0.0195,-0.392,-21.6152,-21.6152,-21.6152
7.3745,1.3336,6.0888,0.2975,0.0195,-0.392,-21.6152,-21.6152,-21.6152
7.3817,1.2498,5.9643,0.1617,-0.0876,-0.41600000000000004,-21.6152,-21.6152,-21.6152
7.4847,1.2091,6.4479,0.0075,-0.2042,-0.3859,-21.6152,-21.6152,-21.6152
7.4847,1.2091,6.4479,0.0075,-0.2042,-0.3859,-21.6152,-21.6152,-21.6152
7.5134,1.6664,6.8119,0.0828,-0.1643,-0.34700000000000003,-21.6152,-21.6152,-21.6152
7.6906,1.6257,6.1055,0.1172,0.0365,-0.3348,-21.6152,-21.6152,-21.6152
7.6906,1.6257,6.1055,0.1172,0.0365,-0.3348,-21.6152,-21.6152,-21.6152
7.6331,1.5036,6.1606,0.0352,0.0972,-0.2501,-15.1842,-15.1842,-15.1842
7.1878,1.5874,6.4743,-0.053,0.052000000000000005,-0.1787,-15.1842,-15.1842,-15.1842
7.1878,1.5874,6.4743,-0.053,0.052000000000000005,-0.1787,-15.1842,-15.1842,-15.1842
6.9531,1.5372,6.6347,-0.0032,-0.0711,-0.1361,-15.1842,-15.1842,-15.1842
7.2907,1.8795,6.6993,0.1675,-0.147,-0.0205,-15.1842,-15.1842,-15.1842
7.2907,1.8795,6.6993,0.1675,-0.147,-0.0205,-15.1842,-15.1842,-15.1842
7.432,2.2004,6.4479,0.0826,-0.0972,0.0272,-15.1842,-15.1842,-15.1842
7.407999999999999,2.1309,6.6754,-0.0277,0.0237,0.0615,-15.1842,-15.1842,-15.1842
7.407999999999999,2.1309,6.6754,-0.0277,0.0237,0.0615,-15.1842,-15.1842,-15.1842
7.5325,1.9179,6.0744,-0.0719,0.1894,0.0991,-17.8638,-17.8638,-17.8638
7.2021,1.8867,5.7296,-0.1859,0.1771,0.0903,-17.8638,-17.8638,-17.8638
